Name,Vendor ID,SMILES,CollectionName,Internal ID,MDR1-MDCK Papp_A2B (nm/s),MDR1-MDCK Papp_B2A (nm/s),MDR1-MDCK Recovery_A2B,MDR1-MDCK Recovery_B2A,LOG MDR1-MDCK ER (B-A/A-B),MDR1-MDCK Papp_A2B (cm/s),MDR1-MDCK Papp_B2A (nm/s),LOG10 MDR1-MDCK Papp_A2B (cm/s),LOG 10 MDR1-MDCK Papp_B2A (nm/s),LOG 10 ER Calc
324056965,324056965,CCOc1cc2nn(cc2cc1NC(=O)c1cccc(n1)C(F)F)CCC(C)(C)O,emolecules,Mol2,34.05,203.5,76,66.5,1.040008636,0.000003405,0.00002035,-5.467882884,-4.691435586,0.776447297
194963090,194963090,CC(C)(Oc1ccc(cc1)-c1cnc(c(c1)-c1ccc(cc1)Cl)N)C(=O)O,emolecules,Mol4,32.7,347,94,86,1.025305865,0.00000327,0.0000347,-5.485452247,-4.459670525,1.025781722
324059015,324059015,CC(C)(O)CCn1cc2cc(c(cc2n1)C(C)(C)O)NC(=O)c1cccc(n1)C(F)(F)F,emolecules,Mol5,65.35,281,78,83.5,0.825426118,0.000006535,0.0000281,-5.184754408,-4.55129368,0.633460728
299985775,299985775,CC(C)NCC(O)COc1cccc2ccccc12,emolecules,Mol7,242.3624238524239,165.5822230802231,91.84856284856285,97.53882453882454,-0.151463239,2.42362E-05,1.65582E-05,-4.615534713,-4.780986291,-0.165451578
538570,538570,COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,emolecules,Mol8,2.49,307,95,104,2.089905111,0.000000249,0.0000307,-6.603800653,-4.512861625,2.090939028
44811418,44811418,CC(C)NC(=O)COc1cccc(c1)-c1nc(c2ccccc2n1)Nc1ccc2[nH]ncc2c1,emolecules,Mol10,2.665,50.55,39,45.5,1.302114377,2.665E-07,0.000005055,-6.574302787,-5.29627884,1.278023947
43216036,43216036,CCS(=O)(=O)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12,emolecules,Mol11,1.7,348,,,2.305351369,0.00000017,0.0000348,-6.769551079,-4.458420756,2.311130323
2171363,2171363,COc1ccc(cc1)S(=O)(=O)N1CCC(CC1)N1CCC(C)CC1,emolecules,Mol12,206,257,106,103,0.096910013,0.0000206,0.0000257,-4.68613278,-4.590066877,0.096065903
36366966,36366966,CCn1c(nc2cnc(cc12)Oc1cccc(c1)NC(=O)c1ccc(cc1)OCCN1CCOCC1)-c1nonc1N,emolecules,Mol13,17,132.2,61.5,57,0.892372907,0.0000017,0.00001322,-5.769551079,-4.878768545,0.890782534
50283346,50283346,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H]([C@@H]2C1)C(=O)C=C1[C@@]3(C)CC[C@H]2C(C)(C)C(=O)C(=C[C@@]21C)C#N)NC(=O)C(C)(F)F |r|,emolecules,Mol14,44.5,271,49,57,0.799799877,0.00000445,0.0000271,-5.351639989,-4.567030709,0.78460928
44811754,44811754,Cc1c[nH]c2nccc(c12)Oc1c(cc(cc1F)Nc1cc(nc(n1)N)Cl)F,emolecules,Mol15,72.3,181.5,47,51.5,0.402261382,0.00000723,0.00001815,-5.140861703,-4.741123371,0.399738332
48544545,48544545,Oc1[nH]c2ccc(cc2c1-c1ccc(cn1)CN1CCOCC1)C#N,emolecules,Mol17,34.1,887,141,243,1.414973348,0.00000341,0.0000887,-5.467245621,-4.05207638,1.415169241
44507857,44507857,CCCc1cc(n2ncnc2n1)N1CCc2c(nc(n2C)C2CC2)C1,emolecules,Mol18,7.226666666666667,271,92.5,100,1.582820633,7.22667E-07,0.0000271,-6.141061977,-4.567030709,1.574031268
194974866,194974866,Fc1ccc(cn1)-c1ccc2c(c1)[nH]c1ccncc12,emolecules,Mol19,192,90.2,60,64,-0.328827157,0.0000192,0.00000902,-4.716698771,-5.044793462,-0.328094691
316756775,316756775,[2H]C([2H])([2H])NC(=O)c1nnc(cc1Nc1cccc(c1OC)-c1ncn(n1)C)NC(=O)C1CC1,emolecules,Mol23,2.63,304,98,99,2.057475916,0.000000263,0.0000304,-6.580044252,-4.517126416,2.062917835
114309331,114309331,Nc1ncnc(c1-c1ccc(cc1)Oc1ccccc1)NCC1CCN(CC1)C(=O)C=C,emolecules,Mol24,12.3,298,76,76.5,1.393575203,0.00000123,0.0000298,-5.910094889,-4.525783736,1.384311153
53744933,53744933,Nc1n[nH]cc1-c1cc(ccc1Oc1cc(c(cc1Cl)S(=O)(=O)Nc1cscn1)F)Cl,emolecules,Mol25,4.01,306,92,92,1.881954971,0.000000401,0.0000306,-6.396855627,-4.514278574,1.882577054
207623013,207623013,CN1C(=O)N(C(=O)c2cccc(c21)F)c1cccc(c1C)-c1c(cc(c2[nH]c3c(c12)CC[C@@H](C3)C(C)(C)O)C(=O)N)F |r|,emolecules,Mol26,44,150,79,60,0.531478917,0.0000044,0.000015,-5.356547324,-4.823908741,0.532638583
322748925,322748925,O=C(Nc1cc(ccn1)C(=O)Nc1cccnc1)C1CC1,emolecules,Mol28,64.3,181,87,88,0.44870632,0.00000643,0.0000181,-5.191789027,-4.742321425,0.449467602
316162153,316162153,OC[C@@H]1CC[C@H](CO1)Nc1ncnc2[nH]cc(c12)C(=O)c1ccc(cc1Cl)Oc1ccccc1 |r|,emolecules,Mol29,47.7,324,64,64,0.832508913,0.00000477,0.0000324,-5.321481621,-4.48945499,0.832026631
75542235,75542235,CN1CCN(CC1)c1ccc(cc1)Nc1nc(c2sccc2n1)Oc1cccc(c1)NC(=O)C=C,emolecules,Mol32,1.66,142,78,57,1.931966115,0.000000166,0.0000142,-6.779891912,-4.847711656,1.932180256
LN01345100,LN01345100,CC#CC(=O)N1CC[C@H](C1)N1C(=O)N(c2ccc(cc2)Oc2ccccc2)c2c(ncnc21)N |r|,labnetworkBB,Mol33,10.4,300,83,83,1.460897843,0.00000104,0.00003,-5.982966661,-4.522878745,1.460087915
168890455,168890455,NC(=O)c1c2n(nc1-c1ccc(cc1)Oc1ccccc1)[C@@H](CCN2)C1CCN(CC1)C(=O)C=C |r|,emolecules,Mol34,6.97,354,76,86,1.705863712,0.000000697,0.0000354,-6.156767222,-4.450996738,1.705770484
93438921,93438921,CN1CCN(CC1)c1ccc(cc1F)Nc1nc(c2cc[nH]c2n1)Oc1cccc(c1)NC(=O)C=C,emolecules,Mol38,1.81,91.7,89,63,1.704150517,0.000000181,0.00000917,-6.742321425,-5.037630664,1.704690761
32130783,32130783,COc1ccccc1-c1cc([nH]n1)NC(=O)c1cccc(c1)N1CCNC1=O,emolecules,Mol40,4.38,265,77,71,1.781036939,0.000000438,0.0000265,-6.358525889,-4.576754126,1.781771763
202119,202119,Nc1ncc(c(n1)C1CCCCN1C(=O)c1ccccc1)-c1cccc(c1)C(F)(F)F,emolecules,Mol41,111,215,67,61,0.285557309,0.0000111,0.0000215,-4.954677021,-4.66756154,0.287115481
