Molecule,P_app,P_app_error,Assay,pH,Efflux_effects,Efflux_ratio,P_app_ref,reference,P_app_comments,Other_Comments,Dosing_Concentration (uM)
Amantadine,0.0000071,0.0000002,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525 ,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Amitriptyline,0.0000098,0.0000012,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.9,10.1124/jpet.107.121525 ,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Amoxapine,0.0000148,0.0000011,MDCK-MDR1,7.4,P-gp inhibitor elacridar,4.1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Atomoxetine,0.0000157,0.0000019,MDCK-MDR1,7.4,P-gp inhibitor elacridar,3.4,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Bupropion,0.0000475,0.0000022,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.4,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Carbamazepine,0.0000309,0.0000017,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Chlorpromazine,0.0000074,0.0000011,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Citalopram,0.0000181,0.0000035,MDCK-MDR1,7.4,P-gp inhibitor elacridar,20.1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Clozapine,0.0000283,0.0000022,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Diazepam,0.0000464,0.0000018,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
