Atenolol_28,Atenolol_29
4.348,4.485
3.499,3.537
2.845,2.883
2.38,2.418
2.042,2.11
1.799,1.847
1.632,1.675
1.52,1.572
1.463,1.506
1.426,1.471
1.407,1.448
1.393,1.432
1.391,1.431
1.39,1.431
1.39,1.43
1.39,1.429
1.39,1.43
1.392,1.433
1.394,1.433
1.395,1.435
1.397,1.435
1.399,1.438
1.402,1.439
1.402,1.441
1.401,1.442
1.401,1.444
1.4,1.443
1.401,1.444
1.406,1.446
1.412,1.45
1.419,1.454
1.42,1.454
1.421,1.456
1.423,1.458
1.424,1.459
1.425,1.457
1.425,1.458
1.424,1.456
1.42,1.453
1.416,1.451
1.415,1.446
1.409,1.441
1.406,1.441
1.402,1.437
1.396,1.43
1.393,1.426
1.388,1.422
1.387,1.418
1.385,1.416
1.385,1.414
1.383,1.405
1.38,1.403
1.375,1.397
1.374,1.396
1.37,1.392
1.366,1.388
1.359,1.378
1.354,1.372
1.346,1.365
1.341,1.355
1.335,1.349
1.327,1.34
1.318,1.331
1.312,1.325
1.311,1.32
1.31,1.316
1.31,1.314
1.31,1.311
1.313,1.311
1.325,1.318
1.348,1.34
1.399,1.375
1.483,1.442
1.624,1.43
1.84,1.34
1.57,1.262
1.461,1.166
1.246,1.062
0.987,0.93
0.825,0.725
0.511,0.436
0.178,0.014
-0.384,-0.422
-0.762,-0.762
-0.952,-0.902
-0.969,-0.907
-0.969,-0.949
-0.858,-0.701
-0.462,-0.134
0.209,0.658
1.143,1.638
2.292,2.461
2.937,3.195
3.415,3.77
3.959,4.223
4.298,4.52
5.278,4.838
5.881,5.147
6.271,5.441
6.634,5.852
6.701,6.165
6.701,6.166
6.707,6.168
6.148,5.61
5.774,5.26
5.43,4.884
4.572,4.589
4.234,4.291
3.521,4.023
3.201,3.453
2.674,2.687
1.527,2.135
0.484,1.02
-0.373,0.109
-0.782,-0.565
-0.976,-0.889
-1.002,-0.94
-1.002,-0.94
-0.915,-0.886
-0.563,-0.631
-0.036,-0.209
0.366,0.322
0.739,0.625
0.906,0.867
1.17,0.989
1.296,1.1
1.518,1.215
1.714,1.291
1.683,1.371
1.514,1.455
1.407,1.374
1.348,1.327
1.315,1.309
1.3,1.302
1.296,1.298
1.292,1.296
1.288,1.296
1.288,1.298
1.288,1.3
1.291,1.306
1.297,1.314
1.304,1.322
1.311,1.328
1.318,1.333
1.321,1.337
1.327,1.345
1.333,1.354
1.338,1.366
1.339,1.367
1.339,1.369
1.344,1.371
1.348,1.377
1.356,1.383
1.36,1.388
1.362,1.389
1.365,1.392
1.369,1.397
1.371,1.397
1.374,1.403
1.374,1.403
1.376,1.407
1.376,1.409
1.377,1.41
1.379,1.412
1.381,1.414
1.382,1.415
1.382,1.415
1.385,1.417
1.383,1.417
1.382,1.416
1.382,1.416
1.381,1.416
1.382,1.417
1.382,1.416
1.382,1.419
1.384,1.421
1.387,1.423
1.391,1.426
1.397,1.432
1.397,1.433
1.398,1.435
1.405,1.435
1.411,1.443
1.413,1.447
1.415,1.45
1.419,1.455
1.422,1.458
1.423,1.46
1.425,1.461
1.427,1.461
1.427,1.461
1.427,1.463
1.429,1.463
1.429,1.463
1.436,1.476
1.454,1.495
1.482,1.525
1.53,1.573
1.6,1.657
1.733,1.779
1.947,1.994
2.271,2.347
2.762,2.805
3.441,3.547
9999.991,9999.948
