Bupropion_33,Bupropion_34
3.637,3.758
3.005,3.079
2.521,2.553
2.174,2.208
1.924,1.956
1.745,1.798
1.621,1.67
1.536,1.584
1.491,1.535
1.462,1.506
1.447,1.487
1.438,1.479
1.436,1.476
1.436,1.475
1.435,1.475
1.435,1.474
1.435,1.475
1.438,1.477
1.441,1.479
1.441,1.481
1.444,1.482
1.447,1.484
1.445,1.485
1.444,1.485
1.443,1.486
1.442,1.485
1.442,1.485
1.443,1.485
1.446,1.487
1.45,1.49
1.454,1.493
1.457,1.496
1.46,1.5
1.465,1.5
1.467,1.499
1.466,1.498
1.465,1.497
1.464,1.495
1.459,1.493
1.456,1.489
1.452,1.484
1.45,1.484
1.444,1.48
1.44,1.475
1.438,1.472
1.434,1.469
1.433,1.468
1.431,1.463
1.43,1.462
1.43,1.461
1.43,1.459
1.428,1.456
1.427,1.449
1.425,1.446
1.422,1.44
1.419,1.439
1.413,1.435
1.407,1.43
1.401,1.421
1.396,1.416
1.393,1.411
1.386,1.399
1.382,1.395
1.378,1.391
1.376,1.384
1.376,1.381
1.376,1.379
1.376,1.379
1.381,1.379
1.386,1.382
1.406,1.399
1.445,1.423
1.512,1.478
1.624,1.562
1.788,1.679
1.979,1.649
1.704,1.461
1.373,1.224
1.036,0.949
0.703,0.544
0.318,0.264
-0.092,-0.099
-0.51,-0.545
-0.843,-0.875
-1.085,-1.042
-1.19,-1.055
-1.2,-1.074
-1.182,-1.001
-1.098,-0.841
-0.831,-0.496
-0.438,-0.043
-0.134,0.456
0.181,0.866
0.563,1.03
0.961,1.395
1.371,1.395
1.709,1.377
1.805,1.23
1.681,1.158
1.638,1.119
1.63,1.1
1.632,1.099
1.634,1.105
1.681,1.13
1.813,1.202
1.839,1.347
1.512,1.404
1.109,1.404
0.697,1.404
0.296,1.148
-0.061,0.688
-0.329,0.154
-0.732,-0.362
-0.984,-0.754
-1.168,-0.949
-1.235,-1.091
-1.235,-1.091
-1.157,-1.081
-0.979,-0.991
-0.649,-0.7
-0.269,-0.295
0.163,0.094
0.543,0.488
0.901,0.831
1.242,1.11
1.597,1.367
1.895,1.551
1.85,1.711
1.665,1.584
1.54,1.49
1.458,1.426
1.411,1.395
1.386,1.382
1.375,1.378
1.371,1.373
1.367,1.37
1.365,1.37
1.365,1.374
1.365,1.377
1.367,1.384
1.372,1.388
1.375,1.392
1.383,1.4
1.389,1.408
1.393,1.413
1.396,1.42
1.398,1.426
1.402,1.431
1.403,1.431
1.403,1.431
1.405,1.432
1.408,1.435
1.412,1.44
1.417,1.443
1.419,1.447
1.422,1.451
1.424,1.454
1.424,1.454
1.425,1.455
1.425,1.455
1.424,1.456
1.425,1.458
1.426,1.46
1.426,1.46
1.428,1.462
1.429,1.464
1.43,1.466
1.431,1.466
1.432,1.465
1.431,1.464
1.429,1.464
1.427,1.462
1.427,1.461
1.426,1.461
1.427,1.464
1.427,1.465
1.43,1.465
1.432,1.468
1.438,1.471
1.441,1.474
1.442,1.475
1.446,1.479
1.447,1.483
1.45,1.485
1.453,1.488
1.455,1.49
1.458,1.493
1.459,1.497
1.461,1.497
1.462,1.497
1.464,1.498
1.464,1.498
1.464,1.499
1.464,1.5
1.471,1.508
1.485,1.525
1.508,1.548
1.541,1.583
1.601,1.64
1.694,1.741
1.856,1.914
2.098,2.137
2.431,2.527
2.936,3.058
10000.0,10000.0
