Caffeine_35,Caffeine_36
3.363,2.903
2.501,2.214
1.962,1.71
1.54,1.337
1.239,1.075
1.026,0.891
0.875,0.757
0.775,0.672
0.715,0.622
0.686,0.599
0.67,0.584
0.658,0.575
0.654,0.571
0.653,0.568
0.654,0.568
0.654,0.57
0.655,0.57
0.656,0.572
0.658,0.572
0.657,0.572
0.656,0.571
0.656,0.571
0.659,0.573
0.66,0.574
0.658,0.574
0.657,0.573
0.655,0.572
0.655,0.572
0.657,0.572
0.661,0.572
0.663,0.575
0.668,0.576
0.669,0.579
0.673,0.58
0.674,0.58
0.672,0.58
0.672,0.578
0.672,0.578
0.67,0.577
0.669,0.574
0.665,0.571
0.664,0.57
0.661,0.569
0.658,0.566
0.654,0.56
0.646,0.555
0.642,0.551
0.639,0.544
0.636,0.541
0.632,0.539
0.629,0.535
0.625,0.533
0.624,0.524
0.622,0.523
0.62,0.519
0.614,0.514
0.61,0.509
0.602,0.503
0.596,0.497
0.591,0.492
0.584,0.486
0.58,0.476
0.573,0.47
0.564,0.462
0.561,0.456
0.561,0.452
0.564,0.449
0.567,0.449
0.579,0.454
0.593,0.454
0.613,0.463
0.663,0.475
0.745,0.509
0.88,0.57
1.069,0.664
1.321,0.8
1.59,0.952
1.825,1.116
1.972,1.285
1.857,1.141
1.632,0.91
1.344,0.726
1.179,0.68
1.159,0.68
1.159,0.69
1.199,0.86
1.398,1.246
1.877,1.822
2.545,2.625
3.414,3.6
4.414,4.694
5.424,5.771
6.401,6.576
7.217,7.289
7.831,7.785
8.23,8.074
8.372,8.231
8.219,8.037
8.019,7.886
7.9,7.82
7.875,7.785
7.875,7.785
7.913,7.806
8.06,7.923
8.377,8.15
8.613,8.403
8.576,8.367
8.196,8.055
7.549,7.579
6.681,6.873
5.683,6.088
4.642,5.034
3.614,3.873
2.641,2.824
1.952,1.957
1.387,1.303
1.129,0.856
1.045,0.629
1.035,0.587
1.035,0.587
1.176,0.612
1.461,0.776
1.752,1.009
1.934,1.225
1.905,1.176
1.677,1.003
1.426,0.846
1.149,0.692
0.932,0.586
0.779,0.515
0.678,0.471
0.617,0.451
0.583,0.443
0.572,0.443
0.569,0.448
0.565,0.45
0.561,0.451
0.559,0.453
0.559,0.461
0.564,0.466
0.571,0.474
0.579,0.482
0.586,0.488
0.591,0.496
0.594,0.5
0.601,0.509
0.604,0.514
0.609,0.518
0.613,0.52
0.615,0.522
0.619,0.525
0.622,0.529
0.627,0.533
0.628,0.535
0.631,0.54
0.632,0.541
0.634,0.543
0.639,0.547
0.642,0.551
0.643,0.552
0.645,0.552
0.644,0.555
0.645,0.556
0.645,0.557
0.647,0.559
0.647,0.559
0.649,0.561
0.649,0.561
0.653,0.564
0.657,0.566
0.66,0.571
0.661,0.571
0.665,0.575
0.669,0.578
0.67,0.579
0.674,0.582
0.68,0.584
0.686,0.59
0.687,0.595
0.691,0.596
0.691,0.596
0.691,0.597
0.693,0.599
0.693,0.6
0.694,0.601
0.692,0.601
0.692,0.601
0.692,0.601
0.693,0.601
0.692,0.6
0.692,0.6
0.69,0.599
0.69,0.599
0.694,0.603
0.7,0.609
0.713,0.623
0.739,0.645
0.779,0.684
0.855,0.745
0.976,0.851
1.175,1.021
1.477,1.283
1.908,1.66
2.524,2.18
3.18,2.997
