Nadolol_30,Nadolol_31
5.844,5.978
4.666,4.685
3.82,3.892
3.273,3.339
2.889,2.949
2.61,2.652
2.414,2.457
2.282,2.328
2.2,2.246
2.161,2.201
2.132,2.174
2.116,2.155
2.111,2.152
2.108,2.15
2.108,2.149
2.11,2.148
2.114,2.153
2.119,2.157
2.125,2.163
2.127,2.166
2.129,2.17
2.132,2.176
2.138,2.181
2.139,2.181
2.141,2.183
2.139,2.182
2.14,2.183
2.142,2.185
2.147,2.189
2.152,2.193
2.157,2.198
2.162,2.201
2.164,2.201
2.166,2.202
2.165,2.204
2.169,2.201
2.17,2.202
2.166,2.199
2.162,2.198
2.162,2.197
2.155,2.192
2.152,2.186
2.152,2.187
2.152,2.187
2.146,2.181
2.14,2.176
2.135,2.17
2.131,2.166
2.131,2.159
2.129,2.159
2.125,2.156
2.124,2.147
2.123,2.144
2.12,2.14
2.116,2.137
2.113,2.133
2.107,2.125
2.095,2.116
2.088,2.106
2.083,2.095
2.074,2.089
2.063,2.077
2.053,2.067
2.047,2.059
2.042,2.051
2.041,2.049
2.04,2.045
2.04,2.045
2.044,2.044
2.051,2.052
2.083,2.077
2.143,2.131
2.252,2.215
2.432,2.259
2.422,2.121
2.231,1.891
2.05,1.839
1.871,1.713
1.702,1.621
1.476,1.437
1.205,0.988
0.378,0.155
-0.457,-0.647
-1.058,-1.189
-1.415,-1.386
-1.548,-1.417
-1.523,-1.417
-1.526,-1.315
-1.21,-0.878
-0.503,-0.119
0.386,0.944
1.584,1.807
2.794,2.424
3.727,3.285
4.669,4.048
5.408,4.82
5.96,5.431
6.555,6.041
7.135,6.607
7.717,7.131
7.908,7.377
7.906,7.377
7.909,7.376
7.448,6.933
6.86,6.346
6.333,5.719
5.786,5.118
5.142,4.469
4.315,3.72
3.317,2.923
2.235,2.227
0.948,1.522
-0.125,0.348
-0.91,-0.625
-1.399,-1.11
-1.492,-1.374
-1.533,-1.401
-1.509,-1.396
-1.233,-1.287
-0.693,-0.874
0.014,-0.139
0.937,0.69
1.353,1.369
1.593,1.55
1.774,1.631
1.946,1.758
2.137,1.805
2.325,1.917
2.48,2.153
2.268,2.222
2.144,2.116
2.062,2.052
2.022,2.022
2.004,2.006
1.997,1.999
1.992,1.998
1.987,1.997
1.987,1.997
1.987,2.0
1.99,2.007
1.996,2.014
2.006,2.023
2.017,2.035
2.024,2.045
2.031,2.049
2.033,2.058
2.038,2.066
2.047,2.074
2.05,2.08
2.051,2.081
2.055,2.084
2.064,2.09
2.072,2.099
2.079,2.106
2.082,2.111
2.084,2.116
2.088,2.119
2.093,2.125
2.095,2.126
2.097,2.128
2.099,2.13
2.099,2.132
2.101,2.135
2.102,2.135
2.105,2.138
2.106,2.14
2.104,2.139
2.105,2.14
2.106,2.141
2.103,2.139
2.102,2.137
2.102,2.136
2.1,2.134
2.098,2.133
2.097,2.133
2.097,2.135
2.102,2.136
2.106,2.143
2.113,2.147
2.12,2.154
2.122,2.156
2.129,2.161
2.133,2.169
2.137,2.173
2.142,2.178
2.145,2.183
2.148,2.186
2.152,2.188
2.153,2.189
2.154,2.192
2.155,2.191
2.156,2.191
2.156,2.191
2.158,2.193
2.166,2.203
2.185,2.226
2.219,2.26
2.274,2.315
2.375,2.42
2.533,2.565
2.773,2.83
3.16,3.206
3.776,3.827
4.661,4.795
10000.0,10000.0
