Rhodamine_123_73,Rhodamine_123_74
5.756,5.718
4.413,4.421
3.605,3.596
3.045,3.045
2.676,2.676
2.412,2.41
2.231,2.228
2.112,2.108
2.039,2.035
1.999,1.994
1.972,1.966
1.957,1.951
1.953,1.947
1.952,1.946
1.953,1.946
1.953,1.945
1.954,1.947
1.956,1.95
1.96,1.953
1.964,1.957
1.968,1.958
1.967,1.958
1.965,1.959
1.965,1.958
1.963,1.957
1.961,1.956
1.961,1.956
1.964,1.956
1.967,1.962
1.972,1.966
1.98,1.97
1.987,1.976
1.99,1.98
1.997,1.985
1.999,1.984
1.997,1.982
1.995,1.98
1.992,1.977
1.988,1.972
1.984,1.967
1.979,1.963
1.974,1.957
1.968,1.952
1.963,1.946
1.958,1.941
1.951,1.933
1.95,1.93
1.948,1.926
1.947,1.925
1.945,1.917
1.942,1.914
1.94,1.909
1.939,1.908
1.933,1.905
1.93,1.902
1.927,1.895
1.919,1.888
1.912,1.88
1.904,1.865
1.895,1.857
1.887,1.849
1.879,1.84
1.87,1.831
1.869,1.818
1.864,1.814
1.863,1.807
1.863,1.805
1.866,1.804
1.868,1.805
1.884,1.816
1.916,1.846
1.976,1.9
2.076,1.982
2.234,2.112
2.45,2.308
2.697,2.538
2.894,2.685
2.717,2.495
2.285,2.014
1.59,1.45
0.867,0.883
0.137,0.15
-0.532,-0.475
-1.152,-1.048
-1.594,-1.36
-1.821,-1.464
-1.84,-1.468
-1.857,-1.452
-1.795,-1.245
-1.541,-0.791
-1.113,-0.117
-0.553,0.731
0.016,1.682
0.514,2.223
0.936,2.646
1.171,2.845
1.325,3.022
1.507,3.227
1.668,3.393
1.787,3.489
1.804,3.509
1.804,3.51
1.804,3.51
1.782,3.487
1.604,3.301
1.423,3.109
1.257,2.932
1.049,2.736
0.642,2.352
0.179,1.912
-0.403,1.042
-0.988,0.119
-1.459,-0.638
-1.784,-1.178
-1.888,-1.454
-1.898,-1.52
-1.898,-1.52
-1.728,-1.464
-1.368,-1.247
-0.798,-0.718
-0.133,-0.128
0.556,0.591
1.298,1.214
1.979,1.778
2.58,2.305
2.835,2.688
2.769,2.597
2.53,2.372
2.289,2.16
2.116,2.004
1.995,1.905
1.92,1.848
1.88,1.809
1.862,1.794
1.852,1.784
1.849,1.784
1.845,1.786
1.845,1.793
1.848,1.803
1.848,1.808
1.852,1.818
1.864,1.828
1.872,1.84
1.88,1.849
1.888,1.856
1.895,1.863
1.898,1.871
1.901,1.875
1.902,1.882
1.905,1.885
1.907,1.887
1.913,1.894
1.918,1.897
1.926,1.905
1.93,1.912
1.932,1.913
1.934,1.915
1.935,1.918
1.935,1.919
1.935,1.92
1.934,1.92
1.935,1.92
1.938,1.921
1.939,1.925
1.94,1.928
1.941,1.93
1.944,1.934
1.945,1.934
1.946,1.935
1.944,1.934
1.941,1.932
1.939,1.929
1.938,1.929
1.94,1.931
1.94,1.931
1.942,1.933
1.945,1.936
1.949,1.941
1.956,1.946
1.961,1.952
1.962,1.954
1.968,1.958
1.971,1.96
1.974,1.964
1.978,1.968
1.98,1.971
1.987,1.977
1.988,1.979
1.99,1.982
1.992,1.985
1.993,1.985
1.994,1.985
1.995,1.986
1.997,1.988
2.008,1.999
2.027,2.02
2.061,2.054
2.114,2.109
2.206,2.207
2.358,2.357
2.589,2.595
2.983,2.98
3.582,3.588
4.574,4.827
10000.0,10000.0
