Risperidone_76,Risperidone_77
7.833,7.723
6.281,6.166
5.155,5.102
4.347,4.303
3.772,3.728
3.359,3.343
3.071,3.046
2.876,2.857
2.752,2.742
2.69,2.684
2.656,2.649
2.636,2.626
2.626,2.62
2.624,2.618
2.624,2.617
2.625,2.617
2.629,2.621
2.633,2.624
2.635,2.626
2.639,2.629
2.639,2.631
2.639,2.634
2.643,2.636
2.644,2.639
2.642,2.637
2.64,2.637
2.641,2.635
2.642,2.635
2.645,2.641
2.651,2.649
2.662,2.655
2.666,2.657
2.672,2.659
2.673,2.66
2.677,2.661
2.676,2.66
2.675,2.66
2.673,2.66
2.67,2.653
2.667,2.65
2.66,2.648
2.658,2.642
2.65,2.633
2.642,2.625
2.637,2.62
2.627,2.612
2.623,2.603
2.619,2.6
2.614,2.593
2.611,2.59
2.607,2.586
2.602,2.581
2.59,2.571
2.586,2.561
2.577,2.549
2.571,2.544
2.564,2.535
2.557,2.526
2.546,2.519
2.536,2.503
2.525,2.491
2.511,2.478
2.499,2.46
2.492,2.452
2.487,2.444
2.487,2.441
2.488,2.441
2.491,2.443
2.5,2.452
2.52,2.466
2.571,2.502
2.664,2.591
2.831,2.73
3.097,2.964
2.956,2.699
2.69,2.365
2.465,2.06
2.236,1.805
2.052,1.602
1.811,1.463
1.362,1.259
0.89,0.908
0.245,0.244
-0.487,-0.301
-0.841,-0.494
-0.899,-0.504
-0.883,-0.504
-0.788,-0.233
-0.402,0.339
0.375,1.272
1.389,2.485
2.277,3.782
2.476,4.29
2.664,4.543
2.941,4.786
3.324,5.197
3.81,5.611
4.335,6.112
4.867,6.615
4.848,6.575
4.827,6.521
4.827,6.523
4.86,6.542
4.969,6.697
4.455,6.219
3.939,5.75
3.458,5.337
3.058,5.032
2.791,4.758
2.586,4.516
2.415,4.23
1.622,2.88
0.516,1.549
-0.276,0.493
-0.817,-0.216
-1.009,-0.551
-1.041,-0.674
-1.034,-0.674
-0.777,-0.526
-0.144,-0.108
0.665,0.58
1.129,1.097
1.566,1.324
1.932,1.502
2.101,1.641
2.311,1.896
2.551,2.197
2.835,2.536
3.144,2.87
2.901,2.784
2.692,2.611
2.577,2.501
2.514,2.46
2.488,2.439
2.474,2.431
2.467,2.425
2.463,2.425
2.463,2.427
2.462,2.431
2.469,2.436
2.478,2.449
2.494,2.464
2.502,2.473
2.514,2.489
2.522,2.5
2.529,2.512
2.542,2.522
2.549,2.531
2.553,2.532
2.559,2.539
2.561,2.54
2.569,2.551
2.575,2.556
2.582,2.564
2.588,2.571
2.594,2.577
2.595,2.578
2.598,2.582
2.599,2.584
2.6,2.585
2.603,2.591
2.603,2.593
2.607,2.594
2.608,2.598
2.612,2.598
2.613,2.602
2.617,2.604
2.618,2.609
2.619,2.609
2.619,2.61
2.62,2.61
2.62,2.613
2.622,2.614
2.623,2.614
2.627,2.618
2.631,2.622
2.636,2.627
2.643,2.633
2.647,2.637
2.654,2.643
2.658,2.649
2.664,2.652
2.668,2.658
2.672,2.663
2.677,2.667
2.681,2.671
2.684,2.676
2.685,2.679
2.688,2.678
2.688,2.678
2.689,2.681
2.688,2.679
2.69,2.679
2.697,2.685
2.708,2.698
2.739,2.732
2.794,2.782
2.876,2.861
3.016,3.001
3.248,3.22
3.637,3.591
4.218,4.148
5.04,4.955
6.244,6.123
10000.0,10000.0
