Sertraline_86,Sertraline_87
4.384,4.638
3.575,3.622
3.036,3.059
2.644,2.69
2.373,2.409
2.172,2.201
2.033,2.074
1.938,1.983
1.88,1.924
1.847,1.89
1.829,1.871
1.819,1.861
1.815,1.855
1.814,1.853
1.814,1.852
1.814,1.852
1.815,1.853
1.817,1.855
1.821,1.858
1.824,1.862
1.826,1.864
1.829,1.867
1.829,1.867
1.827,1.867
1.826,1.867
1.825,1.867
1.825,1.865
1.826,1.867
1.83,1.87
1.834,1.874
1.838,1.877
1.845,1.881
1.846,1.884
1.849,1.887
1.85,1.884
1.851,1.884
1.85,1.884
1.848,1.881
1.844,1.878
1.841,1.875
1.835,1.872
1.829,1.867
1.827,1.864
1.824,1.858
1.819,1.854
1.817,1.851
1.814,1.845
1.81,1.843
1.81,1.842
1.811,1.841
1.811,1.837
1.811,1.833
1.809,1.83
1.806,1.826
1.802,1.822
1.798,1.819
1.792,1.812
1.789,1.807
1.782,1.802
1.775,1.789
1.769,1.781
1.763,1.776
1.757,1.768
1.754,1.763
1.752,1.757
1.749,1.749
1.748,1.749
1.748,1.746
1.751,1.746
1.761,1.75
1.785,1.771
1.834,1.797
1.914,1.856
2.04,1.963
2.218,2.102
2.384,2.132
2.098,1.88
1.72,1.538
1.304,1.135
0.9,0.72
0.446,0.211
-0.063,-0.304
-0.618,-0.862
-1.115,-1.316
-1.461,-1.595
-1.62,-1.655
-1.648,-1.672
-1.648,-1.662
-1.568,-1.522
-1.344,-1.192
-0.972,-0.74
-0.574,-0.235
-0.328,0.183
-0.127,0.494
0.136,0.707
0.453,0.805
0.804,0.93
1.099,0.817
1.257,0.728
1.215,0.681
1.207,0.676
1.207,0.676
1.215,0.681
1.247,0.712
1.22,0.779
0.927,0.906
0.584,0.839
0.251,0.735
-0.032,0.649
-0.248,0.354
-0.498,-0.006
-0.857,-0.619
-1.263,-1.07
-1.53,-1.453
-1.663,-1.657
-1.659,-1.697
-1.651,-1.698
-1.564,-1.655
-1.273,-1.467
-0.835,-1.029
-0.273,-0.51
0.272,0.034
0.726,0.519
1.139,0.972
1.549,1.372
1.946,1.749
2.272,2.017
2.286,2.107
2.094,1.991
1.948,1.875
1.849,1.799
1.792,1.759
1.765,1.74
1.751,1.736
1.743,1.737
1.74,1.736
1.737,1.737
1.737,1.74
1.738,1.744
1.739,1.752
1.745,1.761
1.752,1.766
1.756,1.774
1.762,1.78
1.767,1.786
1.773,1.795
1.778,1.804
1.779,1.807
1.779,1.808
1.782,1.809
1.783,1.811
1.786,1.815
1.788,1.816
1.794,1.822
1.798,1.826
1.804,1.832
1.803,1.833
1.802,1.832
1.801,1.832
1.802,1.833
1.803,1.833
1.803,1.835
1.804,1.836
1.804,1.837
1.807,1.841
1.81,1.842
1.811,1.847
1.813,1.847
1.811,1.845
1.807,1.842
1.807,1.842
1.807,1.839
1.804,1.837
1.802,1.837
1.802,1.837
1.805,1.84
1.808,1.841
1.811,1.846
1.815,1.85
1.816,1.852
1.816,1.853
1.825,1.859
1.828,1.863
1.832,1.866
1.833,1.868
1.837,1.873
1.842,1.877
1.842,1.882
1.844,1.881
1.844,1.88
1.845,1.88
1.846,1.88
1.847,1.883
1.849,1.886
1.856,1.893
1.872,1.908
1.896,1.935
1.936,1.977
2.001,2.05
2.117,2.159
2.303,2.331
2.574,2.599
2.965,3.015
3.569,3.786
10000.0,10000.0
