Ketoprofen_94,Ketoprofen_95
1.02,1.061
1.019,1.059
1.017,1.058
1.017,1.056
1.017,1.056
1.017,1.057
1.017,1.058
1.018,1.059
1.019,1.06
1.022,1.06
1.024,1.063
1.028,1.065
1.03,1.068
1.031,1.068
1.034,1.069
1.036,1.072
1.037,1.073
1.035,1.073
1.035,1.074
1.035,1.072
1.032,1.068
1.029,1.067
1.028,1.066
1.026,1.064
1.024,1.063
1.021,1.063
1.018,1.062
1.016,1.059
1.011,1.057
1.01,1.057
1.011,1.057
1.011,1.056
1.011,1.056
1.011,1.055
1.011,1.055
1.011,1.055
1.01,1.053
1.009,1.053
1.009,1.052
1.008,1.048
1.006,1.046
1.005,1.045
1.003,1.042
1.002,1.041
1.0,1.04
1.0,1.038
1.0,1.038
1.002,1.04
1.003,1.039
1.004,1.039
1.005,1.04
1.008,1.04
1.008,1.04
1.008,1.035
1.007,1.034
1.007,1.029
1.006,1.027
1.004,1.025
1.003,1.022
1.001,1.012
1.001,1.004
1.001,0.995
1.002,0.981
1.002,0.971
1.002,0.959
1.002,0.946
1.001,0.936
1.0,0.93
0.999,0.928
0.996,0.927
0.994,0.923
0.994,0.923
0.997,0.923
1.013,0.927
1.055,0.956
1.139,1.02
1.272,1.137
1.441,1.321
1.456,1.332
1.347,1.24
1.206,1.104
1.017,0.926
0.771,0.737
0.341,0.464
-0.311,0.209
-0.823,0.036
-1.225,-0.042
-1.463,-0.042
-1.544,-0.04
-1.544,0.002
-1.545,0.128
-1.509,0.339
-1.389,0.578
-1.176,1.043
-0.935,1.44
-0.648,1.735
-0.348,1.869
-0.014,1.94
0.356,1.936
0.744,1.874
1.145,1.841
1.487,1.836
1.546,1.836
1.185,1.839
0.8,1.859
0.414,1.903
0.047,1.876
-0.299,1.789
-0.605,1.787
-0.901,1.45
-1.159,1.029
-1.323,0.687
-1.492,0.355
-1.548,0.13
-1.548,0.0
-1.547,-0.046
-1.483,-0.05
-1.27,-0.047
-0.889,0.021
-0.386,0.17
0.244,0.409
0.709,0.678
0.959,0.87
1.152,1.052
1.311,1.203
1.414,1.294
1.409,1.303
1.255,1.133
1.118,0.997
1.026,0.919
0.972,0.879
0.948,0.868
0.934,0.866
0.933,0.866
0.934,0.867
0.935,0.87
0.938,0.873
0.939,0.882
0.942,0.892
0.945,0.907
0.947,0.919
0.951,0.931
0.953,0.945
0.957,0.954
0.962,0.969
0.965,0.974
0.971,0.982
0.972,0.99
0.972,0.992
0.972,0.995
0.972,1.0
0.974,1.001
0.974,1.004
0.976,1.012
0.979,1.016
0.983,1.021
0.986,1.022
0.986,1.028
0.988,1.029
0.992,1.03
0.991,1.03
0.99,1.029
0.991,1.029
0.993,1.029
0.995,1.03
0.998,1.032
0.999,1.035
1.003,1.036
1.004,1.038
1.006,1.039
1.006,1.041
1.009,1.042
1.01,1.043
1.01,1.043
1.011,1.043
1.013,1.045
1.013,1.046
1.015,1.049
1.017,1.05
1.019,1.054
1.02,1.056
1.023,1.056
1.024,1.056
1.026,1.058
1.027,1.059
1.027,1.059
1.027,1.059
1.028,1.059
1.029,1.061
1.03,1.061
1.029,1.062
1.029,1.062
1.028,1.062
1.028,1.062
1.029,1.063
1.032,1.066
1.033,1.067
1.036,1.069
1.036,1.07
1.037,1.071
1.039,1.071
1.04,1.072
1.04,1.072
1.042,1.073
9999.859,9999.891
