Metoprolol_22,Metoprolol_23
1.53,1.521
1.529,1.52
1.527,1.518
1.526,1.516
1.525,1.516
1.525,1.517
1.525,1.518
1.526,1.519
1.527,1.522
1.53,1.526
1.537,1.531
1.54,1.535
1.544,1.539
1.547,1.542
1.55,1.542
1.548,1.543
1.548,1.542
1.55,1.543
1.55,1.54
1.551,1.541
1.547,1.539
1.544,1.534
1.542,1.532
1.535,1.529
1.532,1.526
1.527,1.521
1.527,1.517
1.524,1.515
1.52,1.509
1.518,1.507
1.518,1.506
1.517,1.507
1.517,1.506
1.517,1.506
1.515,1.505
1.515,1.505
1.513,1.503
1.511,1.502
1.51,1.501
1.509,1.499
1.504,1.499
1.504,1.497
1.503,1.495
1.498,1.494
1.497,1.491
1.497,1.491
1.498,1.493
1.501,1.495
1.502,1.496
1.502,1.497
1.503,1.499
1.509,1.506
1.509,1.506
1.508,1.504
1.507,1.503
1.505,1.502
1.505,1.502
1.504,1.503
1.502,1.503
1.5,1.503
1.498,1.502
1.497,1.503
1.497,1.504
1.497,1.505
1.496,1.505
1.495,1.509
1.493,1.512
1.494,1.515
1.494,1.519
1.49,1.523
1.489,1.536
1.49,1.552
1.495,1.577
1.517,1.618
1.589,1.689
1.712,1.838
1.913,1.988
1.75,1.867
1.615,1.751
1.44,1.546
1.286,1.363
1.114,1.18
0.918,0.899
0.549,0.415
-0.303,-0.403
-1.074,-1.052
-1.538,-1.525
-1.816,-1.708
-1.927,-1.709
-1.927,-1.709
-1.83,-1.613
-1.682,-1.326
-1.28,-1.075
-1.093,-0.786
-0.878,-0.408
-0.484,0.077
0.075,0.706
0.761,1.451
1.532,2.274
2.358,3.325
3.194,3.585
4.044,4.109
4.186,4.112
3.347,3.836
2.494,3.223
1.658,2.375
0.89,1.545
0.203,0.785
-0.374,0.116
-0.801,-0.363
-1.055,-0.758
-1.214,-1.073
-1.607,-1.333
-1.815,-1.631
-1.83,-1.758
-1.88,-1.736
-1.827,-1.736
-1.599,-1.585
-1.128,-1.17
-0.44,-0.519
0.423,0.253
0.871,0.818
1.075,1.11
1.254,1.307
1.386,1.489
1.551,1.663
1.733,1.809
1.901,1.895
1.684,1.799
1.553,1.646
1.474,1.558
1.429,1.498
1.416,1.473
1.412,1.451
1.412,1.437
1.412,1.43
1.417,1.43
1.42,1.431
1.423,1.433
1.427,1.433
1.43,1.433
1.436,1.435
1.441,1.435
1.445,1.437
1.448,1.44
1.454,1.443
1.46,1.443
1.463,1.444
1.464,1.445
1.465,1.445
1.466,1.446
1.47,1.447
1.471,1.447
1.472,1.449
1.475,1.453
1.48,1.459
1.485,1.461
1.485,1.463
1.487,1.467
1.49,1.469
1.489,1.472
1.49,1.472
1.49,1.474
1.493,1.477
1.497,1.481
1.501,1.483
1.502,1.485
1.506,1.489
1.508,1.492
1.509,1.493
1.515,1.499
1.517,1.499
1.518,1.502
1.52,1.504
1.52,1.505
1.522,1.507
1.524,1.51
1.527,1.511
1.529,1.513
1.532,1.517
1.533,1.518
1.536,1.519
1.537,1.52
1.54,1.52
1.54,1.521
1.542,1.522
1.542,1.523
1.542,1.524
1.543,1.525
1.547,1.527
1.547,1.528
1.547,1.53
1.548,1.531
1.547,1.532
1.547,1.533
1.551,1.536
1.552,1.537
1.553,1.539
1.557,1.543
1.557,1.544
1.56,1.546
1.56,1.547
1.56,1.547
1.561,1.549
9999.914,9999.914
