Propranolol_66,Propranolol_67
1.435,1.426
1.435,1.426
1.433,1.424
1.433,1.423
1.432,1.423
1.431,1.424
1.431,1.425
1.432,1.425
1.434,1.428
1.438,1.432
1.441,1.435
1.444,1.439
1.446,1.441
1.453,1.446
1.455,1.45
1.457,1.45
1.455,1.449
1.455,1.449
1.455,1.447
1.456,1.446
1.451,1.444
1.45,1.439
1.444,1.437
1.441,1.434
1.438,1.433
1.434,1.427
1.432,1.422
1.431,1.421
1.426,1.416
1.425,1.413
1.423,1.413
1.423,1.414
1.423,1.414
1.424,1.413
1.424,1.412
1.422,1.412
1.421,1.41
1.42,1.41
1.417,1.407
1.416,1.406
1.413,1.406
1.411,1.404
1.409,1.403
1.406,1.401
1.406,1.4
1.406,1.4
1.406,1.402
1.408,1.403
1.409,1.403
1.41,1.405
1.414,1.411
1.417,1.413
1.418,1.414
1.418,1.414
1.415,1.414
1.415,1.413
1.415,1.413
1.412,1.415
1.411,1.414
1.41,1.415
1.41,1.415
1.409,1.414
1.409,1.415
1.408,1.416
1.409,1.42
1.407,1.423
1.406,1.423
1.405,1.424
1.405,1.425
1.4,1.43
1.399,1.441
1.399,1.453
1.399,1.477
1.418,1.509
1.462,1.563
1.557,1.674
1.709,1.834
1.9,1.895
1.924,1.811
1.757,1.659
1.505,1.485
1.256,1.346
0.936,0.931
0.303,0.279
-0.428,-0.464
-0.937,-1.009
-1.396,-1.36
-1.65,-1.548
-1.736,-1.591
-1.736,-1.593
-1.713,-1.552
-1.657,-1.451
-1.485,-1.167
-1.136,-0.772
-0.682,-0.235
-0.114,0.434
0.541,1.203
1.27,2.023
2.045,2.801
2.827,3.308
3.661,3.605
4.261,3.896
4.426,3.9
3.796,3.758
2.991,3.56
2.181,2.898
1.403,2.123
0.665,1.298
0.008,0.519
-0.573,-0.18
-1.057,-0.729
-1.432,-1.14
-1.624,-1.436
-1.708,-1.569
-1.719,-1.621
-1.727,-1.616
-1.666,-1.592
-1.456,-1.428
-1.063,-1.094
-0.502,-0.519
0.239,0.145
0.867,0.82
1.214,1.267
1.466,1.419
1.711,1.625
1.865,1.743
1.881,1.819
1.698,1.809
1.54,1.642
1.432,1.524
1.373,1.452
1.342,1.407
1.334,1.382
1.332,1.366
1.332,1.356
1.333,1.35
1.337,1.35
1.34,1.351
1.341,1.354
1.345,1.355
1.349,1.355
1.353,1.355
1.358,1.357
1.362,1.357
1.366,1.358
1.373,1.358
1.375,1.363
1.378,1.36
1.379,1.36
1.38,1.361
1.381,1.361
1.385,1.362
1.385,1.363
1.386,1.363
1.389,1.368
1.394,1.372
1.399,1.376
1.4,1.378
1.402,1.379
1.402,1.381
1.403,1.383
1.403,1.386
1.403,1.386
1.404,1.387
1.408,1.391
1.409,1.393
1.412,1.396
1.416,1.4
1.418,1.403
1.422,1.406
1.425,1.408
1.425,1.409
1.425,1.409
1.427,1.412
1.428,1.414
1.429,1.414
1.431,1.416
1.432,1.417
1.434,1.419
1.435,1.421
1.439,1.425
1.442,1.426
1.443,1.426
1.443,1.426
1.444,1.426
1.444,1.426
1.445,1.426
1.445,1.427
1.447,1.428
1.448,1.43
1.449,1.431
1.449,1.433
1.45,1.434
1.45,1.435
1.45,1.436
1.453,1.438
1.454,1.439
1.458,1.444
1.459,1.444
1.46,1.446
1.461,1.448
1.461,1.448
1.461,1.448
1.464,1.451
1.469,1.457
