Salicylic_Acid_81,Salicylic_Acid_82,Salicylic_Acid_83
0.23,0.27,0.177
0.229,0.269,0.177
0.227,0.269,0.177
0.227,0.267,0.175
0.227,0.267,0.173
0.228,0.267,0.173
0.226,0.268,0.173
0.226,0.267,0.174
0.226,0.268,0.176
0.227,0.267,0.174
0.229,0.267,0.172
0.23,0.268,0.173
0.231,0.269,0.173
0.232,0.27,0.174
0.234,0.271,0.175
0.233,0.268,0.172
0.233,0.268,0.17
0.233,0.268,0.17
0.232,0.267,0.169
0.23,0.266,0.167
0.228,0.265,0.167
0.227,0.265,0.167
0.226,0.265,0.171
0.225,0.268,0.175
0.224,0.269,0.178
0.224,0.267,0.176
0.221,0.265,0.173
0.219,0.262,0.17
0.217,0.261,0.17
0.214,0.259,0.17
0.212,0.259,0.17
0.212,0.259,0.17
0.212,0.258,0.17
0.212,0.257,0.166
0.212,0.257,0.166
0.212,0.257,0.165
0.212,0.256,0.165
0.212,0.255,0.163
0.211,0.254,0.163
0.209,0.253,0.163
0.209,0.252,0.163
0.208,0.252,0.161
0.207,0.249,0.158
0.206,0.247,0.153
0.206,0.246,0.151
0.206,0.245,0.149
0.206,0.245,0.149
0.208,0.246,0.149
0.211,0.247,0.15
0.212,0.249,0.149
0.213,0.249,0.149
0.214,0.246,0.146
0.214,0.246,0.143
0.215,0.246,0.142
0.215,0.247,0.142
0.216,0.246,0.14
0.214,0.24,0.135
0.212,0.238,0.128
0.212,0.234,0.123
0.211,0.232,0.117
0.211,0.23,0.112
0.211,0.227,0.106
0.212,0.22,0.095
0.212,0.213,0.081
0.212,0.205,0.065
0.212,0.191,0.044
0.213,0.181,0.02
0.213,0.169,-0.002
0.211,0.156,-0.027
0.21,0.145,-0.051
0.21,0.14,-0.064
0.211,0.139,-0.071
0.214,0.14,-0.071
0.231,0.142,-0.07
0.26,0.156,-0.061
0.322,0.201,-0.018
0.404,0.274,0.06
0.522,0.364,0.193
0.668,0.517,0.388
0.798,0.682,0.623
0.903,0.825,0.873
0.867,0.895,1.118
0.621,0.861,1.357
0.345,0.861,1.622
0.08,0.875,1.917
-0.131,0.932,2.238
-0.266,1.039,2.582
-0.293,1.186,2.946
-0.293,1.353,3.387
-0.277,1.621,3.923
-0.164,1.988,4.507
0.085,2.423,5.067
0.472,2.795,5.444
0.996,3.097,5.657
1.636,3.521,5.923
2.363,3.888,5.968
3.149,4.203,5.955
3.918,4.478,5.925
4.602,4.8,5.872
5.109,5.128,5.812
5.504,5.358,5.748
5.641,5.397,5.699
5.628,5.394,5.699
5.526,5.293,5.699
5.213,5.177,5.708
4.704,4.919,5.737
4.014,4.564,5.884
3.236,4.172,6.007
2.467,3.826,5.969
1.745,3.539,5.944
1.092,3.235,5.875
0.544,2.92,5.56
0.125,2.444,5.061
-0.153,1.968,4.477
-0.285,1.63,3.91
-0.31,1.352,3.413
-0.31,1.168,2.955
-0.294,1.023,2.58
-0.168,0.92,2.252
0.034,0.859,1.942
0.294,0.843,1.644
0.568,0.843,1.37
0.828,0.866,1.12
0.882,0.811,0.872
0.786,0.671,0.622
0.655,0.509,0.386
0.511,0.358,0.188
0.391,0.255,0.046
0.303,0.178,-0.043
0.24,0.129,-0.094
0.202,0.109,-0.109
0.184,0.105,-0.109
0.175,0.104,-0.109
0.169,0.104,-0.104
0.163,0.11,-0.091
0.163,0.112,-0.07
0.166,0.126,-0.046
0.166,0.136,-0.026
0.166,0.146,-0.004
0.166,0.158,0.016
0.173,0.17,0.038
0.178,0.185,0.055
0.183,0.192,0.065
0.188,0.2,0.08
0.19,0.209,0.09
0.191,0.21,0.093
0.192,0.213,0.102
0.192,0.219,0.109
0.192,0.219,0.109
0.193,0.222,0.117
0.194,0.229,0.124
0.195,0.23,0.127
0.195,0.232,0.129
0.196,0.232,0.134
0.197,0.238,0.14
0.2,0.24,0.141
0.202,0.242,0.144
0.203,0.243,0.145
0.205,0.245,0.146
0.204,0.243,0.145
0.204,0.243,0.144
0.205,0.243,0.144
0.208,0.244,0.143
0.21,0.245,0.143
0.212,0.247,0.144
0.213,0.248,0.146
0.214,0.249,0.148
0.214,0.249,0.146
0.215,0.249,0.146
0.217,0.25,0.147
0.217,0.25,0.147
0.219,0.252,0.147
0.22,0.253,0.148
0.222,0.253,0.149
0.222,0.255,0.153
0.223,0.257,0.156
0.225,0.26,0.159
0.226,0.261,0.161
0.226,0.261,0.162
0.229,0.264,0.165
0.231,0.265,0.166
0.23,0.264,0.166
0.23,0.262,0.165
0.231,0.262,0.163
0.231,0.262,0.163
0.23,0.262,0.163
0.23,0.262,0.163
0.232,0.264,0.165
0.231,0.264,0.167
0.231,0.264,0.168
0.231,0.263,0.165
0.229,0.263,0.164
0.229,0.263,0.164
0.229,0.263,0.164
0.229,0.263,0.164
0.231,0.264,0.165
0.232,0.266,0.166
0.232,0.266,0.167
0.234,0.267,0.168
0.237,0.269,0.169
0.237,0.269,0.169
0.237,0.269,0.169
0.237,0.269,0.169
0.24,0.269,0.169
0.244,0.273,0.169
