Trimethoprim_124,Trimethoprim_125,Trimethoprim_126
0.836,0.844,0.844
0.829,0.838,0.841
0.828,0.838,0.839
0.826,0.835,0.838
0.824,0.834,0.835
0.824,0.835,0.835
0.823,0.835,0.835
0.824,0.836,0.836
0.825,0.837,0.837
0.831,0.844,0.842
0.835,0.847,0.847
0.84,0.852,0.851
0.843,0.854,0.854
0.845,0.858,0.857
0.848,0.86,0.861
0.849,0.86,0.86
0.848,0.861,0.861
0.847,0.86,0.86
0.845,0.857,0.859
0.844,0.855,0.856
0.838,0.85,0.851
0.831,0.843,0.843
0.828,0.84,0.841
0.826,0.838,0.838
0.823,0.837,0.837
0.821,0.833,0.834
0.817,0.83,0.831
0.814,0.827,0.828
0.814,0.824,0.825
0.813,0.822,0.822
0.811,0.821,0.822
0.811,0.82,0.822
0.811,0.818,0.819
0.81,0.817,0.819
0.809,0.817,0.818
0.809,0.817,0.818
0.809,0.818,0.817
0.807,0.816,0.817
0.805,0.816,0.816
0.801,0.814,0.813
0.8,0.812,0.813
0.796,0.811,0.811
0.795,0.808,0.808
0.791,0.806,0.806
0.79,0.805,0.804
0.79,0.805,0.803
0.791,0.805,0.803
0.792,0.807,0.806
0.795,0.81,0.807
0.797,0.811,0.811
0.797,0.811,0.812
0.797,0.812,0.814
0.797,0.814,0.814
0.797,0.814,0.814
0.794,0.814,0.814
0.785,0.811,0.811
0.782,0.809,0.809
0.778,0.806,0.807
0.775,0.803,0.805
0.771,0.8,0.802
0.767,0.798,0.801
0.764,0.798,0.801
0.764,0.798,0.8
0.764,0.8,0.801
0.764,0.799,0.802
0.763,0.802,0.803
0.763,0.802,0.807
0.764,0.809,0.809
0.76,0.815,0.814
0.758,0.821,0.821
0.758,0.834,0.83
0.762,0.847,0.847
0.779,0.881,0.878
0.828,0.938,0.937
0.932,1.051,1.047
1.114,1.237,1.232
1.383,1.496,1.498
1.774,1.851,1.881
2.246,2.293,2.333
2.23,2.2,2.311
1.91,1.828,1.938
1.563,1.433,1.492
1.247,1.013,1.041
0.898,0.575,0.614
0.466,0.079,0.058
-0.013,-0.359,-0.429
-0.352,-0.56,-0.707
-0.414,-0.61,-0.807
-0.422,-0.602,-0.807
-0.425,-0.513,-0.714
-0.187,-0.163,-0.447
0.297,0.406,0.136
1.026,1.146,1.001
1.612,1.906,1.898
2.263,2.75,2.434
2.999,3.653,3.36
3.852,4.655,4.324
4.861,5.759,5.458
5.992,6.828,6.657
7.257,7.924,7.826
8.509,8.98,8.883
9.676,9.81,9.952
9.983,10.245,10.344
8.821,9.324,9.211
7.588,8.28,8.165
6.28,7.134,6.909
5.104,5.985,5.681
4.064,4.844,4.523
3.197,3.819,3.515
2.462,2.909,2.584
1.804,2.054,1.793
1.195,1.289,1.175
0.462,0.537,0.268
-0.033,-0.075,-0.346
-0.292,-0.422,-0.661
-0.307,-0.551,-0.763
-0.332,-0.551,-0.763
-0.263,-0.507,-0.679
0.017,-0.361,-0.442
0.452,0.025,-0.006
0.925,0.54,0.571
1.224,0.916,0.982
1.53,1.373,1.423
1.861,1.769,1.882
2.184,2.206,2.26
2.284,2.316,2.363
1.823,1.892,1.91
1.417,1.511,1.522
1.108,1.222,1.215
0.922,1.029,1.024
0.806,0.903,0.901
0.737,0.827,0.823
0.704,0.787,0.785
0.699,0.761,0.76
0.699,0.758,0.756
0.702,0.75,0.752
0.704,0.743,0.747
0.705,0.743,0.745
0.715,0.744,0.745
0.715,0.745,0.745
0.724,0.745,0.748
0.73,0.752,0.752
0.738,0.755,0.755
0.745,0.758,0.76
0.749,0.761,0.763
0.756,0.764,0.764
0.755,0.764,0.764
0.756,0.766,0.768
0.763,0.767,0.768
0.763,0.767,0.767
0.763,0.766,0.766
0.766,0.766,0.766
0.766,0.766,0.767
0.77,0.768,0.767
0.77,0.77,0.771
0.771,0.773,0.774
0.773,0.774,0.777
0.778,0.781,0.781
0.783,0.787,0.787
0.784,0.787,0.788
0.782,0.786,0.787
0.782,0.786,0.786
0.782,0.786,0.786
0.784,0.787,0.789
0.789,0.792,0.792
0.793,0.796,0.795
0.795,0.8,0.799
0.8,0.804,0.804
0.802,0.808,0.807
0.806,0.812,0.812
0.809,0.814,0.815
0.811,0.818,0.818
0.812,0.819,0.817
0.811,0.818,0.816
0.812,0.822,0.821
0.816,0.823,0.822
0.818,0.825,0.826
0.821,0.829,0.829
0.823,0.832,0.831
0.827,0.836,0.836
0.832,0.84,0.841
0.837,0.844,0.843
0.84,0.848,0.847
0.842,0.848,0.849
0.845,0.852,0.853
0.849,0.853,0.854
0.852,0.854,0.854
0.854,0.855,0.856
0.859,0.859,0.858
0.86,0.861,0.861
0.858,0.861,0.861
0.857,0.862,0.861
0.857,0.863,0.864
0.853,0.862,0.862
0.853,0.861,0.862
0.854,0.863,0.865
0.857,0.867,0.868
0.857,0.868,0.867
0.857,0.868,0.867
0.858,0.869,0.867
0.859,0.869,0.869
0.859,0.869,0.869
0.861,0.87,0.87
0.863,0.872,0.874
9999.79,9999.801,9999.799
