lgfe_0,lgfe_1,lgfe_2,lgfe_3,lgfe_4,lgfe_5,lgfe_6,lgfe_7,lgfe_8,lgfe_9,lgfe_10,lgfe_11,lgfe_12,lgfe_13,lgfe_14,lgfe_15,lgfe_16,lgfe_17,lgfe_18,lgfe_19,lgfe_20,lgfe_21,lgfe_22,lgfe_23,lgfe_24,lgfe_25,lgfe_26,lgfe_27,lgfe_28,lgfe_29,lgfe_30,lgfe_31,lgfe_32,lgfe_33,lgfe_34,lgfe_35,lgfe_36,lgfe_37,lgfe_38,lgfe_39,lgfe_40,lgfe_41,lgfe_42,lgfe_43,lgfe_44,lgfe_45,lgfe_46,lgfe_47,lgfe_48,lgfe_49,lgfe_50,lgfe_51,lgfe_52,lgfe_53,lgfe_54,lgfe_55,lgfe_56,lgfe_57,lgfe_58,lgfe_59,lgfe_60,lgfe_61,lgfe_62,lgfe_63,lgfe_64,lgfe_65,lgfe_66,lgfe_67,lgfe_68,lgfe_69,lgfe_70,lgfe_71,lgfe_72,lgfe_73,lgfe_74,lgfe_75,lgfe_76,lgfe_77,lgfe_78,lgfe_79,lgfe_80,lgfe_81,lgfe_82,lgfe_83,lgfe_84,lgfe_85,lgfe_86,lgfe_87,lgfe_88,lgfe_89,lgfe_90,lgfe_91,lgfe_92,lgfe_93,lgfe_94,lgfe_95,lgfe_96,lgfe_97,lgfe_98,lgfe_99,lgfe_100,lgfe_101,lgfe_102,lgfe_103,lgfe_104,lgfe_105,lgfe_106,lgfe_107,lgfe_108,lgfe_109,lgfe_110,lgfe_111,lgfe_112,lgfe_113,lgfe_114,lgfe_115,lgfe_116,lgfe_117,lgfe_118,lgfe_119,lgfe_120,lgfe_121,lgfe_122,lgfe_123,lgfe_124,lgfe_125,lgfe_126,lgfe_127,lgfe_128,lgfe_129,lgfe_130,lgfe_131,lgfe_132,lgfe_133,lgfe_134,lgfe_135,lgfe_136,lgfe_137,lgfe_138,lgfe_139,lgfe_140,lgfe_141,lgfe_142,lgfe_143,lgfe_144,lgfe_145,lgfe_146,lgfe_147,lgfe_148,lgfe_149,lgfe_150,lgfe_151,lgfe_152,lgfe_153,lgfe_154,lgfe_155,lgfe_156,lgfe_157,lgfe_158,lgfe_159,lgfe_160,lgfe_161,lgfe_162,lgfe_163,lgfe_164,lgfe_165,lgfe_166,lgfe_167,lgfe_168,lgfe_169,lgfe_170,lgfe_171,lgfe_172,lgfe_173,lgfe_174,lgfe_175,lgfe_176,lgfe_177,lgfe_178,lgfe_179,lgfe_180,lgfe_181,lgfe_182,lgfe_183,lgfe_184,Molecule,log10_P_app
-0.665,-0.683,-0.688,-0.688,-0.69,-0.69,-0.691,-0.694,-0.696,-0.699,-0.703,-0.703,-0.704,-0.707,-0.707,-0.706,-0.707,-0.707,-0.703,-0.698,-0.694,-0.688,-0.684,-0.684,-0.682,-0.683,-0.686,-0.692,-0.693,-0.696,-0.7,-0.706,-0.71,-0.716,-0.722,-0.726,-0.731,-0.736,-0.739,-0.743,-0.751,-0.753,-0.755,-0.758,-0.763,-0.768,-0.777,-0.782,-0.791,-0.801,-0.807,-0.816,-0.823,-0.833,-0.835,-0.835,-0.83,-0.821,-0.804,-0.782,-0.754,-0.683,-0.566,-0.503,-0.394,-0.229,0.011,0.3,0.633,0.947,0.907,0.879,0.879,0.901,1.067,1.42,1.994,2.903,3.958,5.211,6.21,7.436,8.772,10.09,11.278,12.184,12.895,13.228,13.01,12.951,12.927,12.927,12.927,13.01,13.286,13.29,12.645,11.675,10.486,9.15,7.828,6.588,5.487,4.291,3.122,2.107,1.424,1.039,0.831,0.8,0.8,0.803,0.971,0.759,0.424,0.11,-0.155,-0.353,-0.486,-0.561,-0.652,-0.743,-0.792,-0.809,-0.814,-0.816,-0.823,-0.825,-0.825,-0.822,-0.811,-0.806,-0.798,-0.791,-0.786,-0.782,-0.776,-0.77,-0.766,-0.759,-0.753,-0.748,-0.742,-0.738,-0.734,-0.734,-0.732,-0.725,-0.721,-0.717,-0.716,-0.717,-0.717,-0.716,-0.715,-0.714,-0.714,-0.711,-0.705,-0.701,-0.698,-0.695,-0.689,-0.679,-0.675,-0.669,-0.658,-0.655,-0.649,-0.649,-0.646,-0.648,-0.65,-0.652,-0.655,-0.654,-0.654,-0.654,-0.648,-0.647,-0.647,-0.643,-0.643,-0.64,-0.623,Amiloride,-5.437707135543525
1.406,1.393,1.391,1.39,1.39,1.39,1.391,1.392,1.394,1.395,1.398,1.4,1.403,1.402,1.401,1.401,1.401,1.402,1.406,1.411,1.418,1.42,1.422,1.424,1.425,1.427,1.425,1.423,1.42,1.417,1.414,1.41,1.407,1.402,1.395,1.393,1.388,1.387,1.385,1.384,1.382,1.38,1.375,1.375,1.371,1.367,1.359,1.352,1.346,1.34,1.334,1.327,1.318,1.312,1.31,1.309,1.309,1.31,1.311,1.317,1.338,1.373,1.446,1.425,1.337,1.259,1.168,1.062,0.923,0.736,0.436,0.015,-0.481,-0.793,-0.968,-1.018,-1.018,-0.939,-0.576,0.067,0.952,2.005,2.937,3.244,3.708,4.298,4.84,5.15,5.442,6.078,6.166,6.166,6.06,5.606,5.48,4.881,4.558,4.013,3.521,3.097,2.409,1.287,0.332,-0.406,-0.871,-1.042,-1.042,-1.019,-0.889,-0.631,-0.161,0.297,0.625,0.88,0.989,1.111,1.215,1.291,1.371,1.458,1.374,1.322,1.307,1.3,1.296,1.291,1.288,1.287,1.288,1.29,1.297,1.304,1.311,1.318,1.322,1.327,1.333,1.338,1.339,1.34,1.344,1.348,1.357,1.36,1.363,1.365,1.37,1.371,1.373,1.374,1.375,1.376,1.377,1.379,1.38,1.381,1.383,1.384,1.382,1.381,1.381,1.382,1.382,1.381,1.382,1.384,1.388,1.393,1.397,1.397,1.398,1.405,1.411,1.413,1.415,1.419,1.421,1.423,1.425,1.426,1.426,1.427,1.429,1.43,1.439,Atenolol,-6.229147988357856
1.18,1.173,1.172,1.171,1.171,1.171,1.172,1.175,1.178,1.178,1.18,1.18,1.18,1.18,1.179,1.179,1.178,1.179,1.181,1.184,1.188,1.191,1.195,1.197,1.198,1.197,1.196,1.195,1.19,1.188,1.187,1.184,1.181,1.177,1.174,1.169,1.168,1.168,1.166,1.166,1.166,1.165,1.164,1.163,1.161,1.158,1.151,1.151,1.144,1.141,1.136,1.13,1.126,1.123,1.121,1.12,1.118,1.118,1.118,1.129,1.145,1.175,1.229,1.315,1.436,1.584,1.703,1.693,1.424,1.043,0.617,0.162,-0.25,-0.571,-0.779,-0.908,-0.908,-0.897,-0.833,-0.648,-0.322,0.112,0.624,1.171,1.686,2.16,2.52,2.613,2.55,2.518,2.514,2.514,2.517,2.547,2.619,2.688,2.343,1.878,1.337,0.778,0.242,-0.222,-0.586,-0.815,-0.888,-0.947,-0.947,-0.862,-0.681,-0.387,0.007,0.457,0.89,1.286,1.609,1.722,1.631,1.481,1.351,1.25,1.187,1.149,1.129,1.123,1.118,1.116,1.115,1.115,1.115,1.117,1.12,1.124,1.131,1.134,1.138,1.14,1.144,1.144,1.143,1.146,1.148,1.15,1.155,1.16,1.162,1.163,1.162,1.162,1.164,1.164,1.164,1.164,1.165,1.167,1.168,1.17,1.17,1.17,1.171,1.17,1.17,1.168,1.168,1.167,1.167,1.169,1.171,1.171,1.177,1.179,1.181,1.184,1.185,1.185,1.185,1.189,1.191,1.193,1.193,1.193,1.195,1.195,1.195,1.197,1.201,Carbamazepine,-4.323855319643794
1.173,1.158,1.155,1.155,1.154,1.156,1.157,1.159,1.162,1.161,1.165,1.168,1.17,1.172,1.172,1.173,1.173,1.173,1.176,1.175,1.175,1.177,1.18,1.18,1.18,1.179,1.177,1.174,1.173,1.171,1.171,1.171,1.167,1.165,1.161,1.157,1.15,1.148,1.144,1.144,1.142,1.141,1.133,1.131,1.127,1.121,1.115,1.111,1.1,1.095,1.091,1.078,1.071,1.07,1.063,1.062,1.061,1.061,1.059,1.063,1.075,1.103,1.167,1.253,1.399,1.276,1.124,0.986,0.835,0.648,0.358,-0.012,-0.38,-0.588,-0.663,-0.663,-0.648,-0.471,-0.022,0.72,1.649,2.575,3.366,4.016,4.822,5.832,6.492,7.128,7.392,7.566,7.563,7.563,7.582,7.549,7.391,6.822,6.147,5.482,4.736,3.93,3.023,2.071,1.135,0.286,-0.288,-0.579,-0.635,-0.632,-0.605,-0.472,-0.161,0.189,0.535,0.75,0.904,1.052,1.194,1.32,1.272,1.152,1.094,1.064,1.046,1.035,1.03,1.027,1.027,1.028,1.03,1.037,1.041,1.046,1.053,1.061,1.07,1.081,1.086,1.087,1.089,1.093,1.095,1.099,1.106,1.115,1.118,1.121,1.123,1.127,1.131,1.133,1.137,1.138,1.138,1.138,1.138,1.142,1.144,1.142,1.143,1.142,1.14,1.139,1.138,1.139,1.139,1.141,1.142,1.146,1.146,1.155,1.159,1.161,1.167,1.168,1.171,1.175,1.174,1.175,1.178,1.177,1.177,1.177,1.177,1.179,1.189,Terbutaline,-6.958607314841775
1.224,1.209,1.205,1.203,1.203,1.203,1.204,1.206,1.205,1.206,1.206,1.206,1.206,1.205,1.208,1.208,1.205,1.205,1.21,1.213,1.215,1.219,1.219,1.219,1.218,1.226,1.225,1.221,1.216,1.212,1.21,1.204,1.197,1.189,1.186,1.177,1.169,1.164,1.16,1.153,1.147,1.145,1.141,1.135,1.125,1.118,1.112,1.099,1.096,1.085,1.073,1.062,1.05,1.04,1.03,1.028,1.026,1.028,1.036,1.056,1.086,1.136,1.23,1.391,1.406,1.408,1.373,1.283,1.159,0.92,0.644,0.303,-0.044,-0.255,-0.302,-0.302,-0.24,0.099,0.704,1.593,2.515,2.937,3.073,3.275,3.624,4.128,4.711,5.339,5.69,5.627,5.597,5.592,5.601,5.655,5.553,4.826,4.255,3.723,3.368,3.101,2.97,2.832,1.807,0.848,0.102,-0.316,-0.39,-0.427,-0.427,-0.249,0.138,0.47,0.784,0.986,1.196,1.287,1.396,1.384,1.392,1.275,1.151,1.083,1.046,1.04,1.036,1.032,1.031,1.031,1.031,1.043,1.051,1.059,1.067,1.081,1.09,1.098,1.107,1.113,1.119,1.127,1.131,1.137,1.145,1.15,1.157,1.158,1.161,1.164,1.165,1.169,1.175,1.175,1.178,1.182,1.183,1.186,1.188,1.189,1.193,1.195,1.197,1.201,1.204,1.208,1.21,1.215,1.219,1.222,1.227,1.235,1.238,1.24,1.24,1.241,1.244,1.248,1.25,1.25,1.25,1.251,1.252,1.253,1.255,1.256,1.27,Ranitidine,-6.657577319177793
2.089,2.08,2.077,2.077,2.077,2.078,2.081,2.084,2.086,2.091,2.093,2.094,2.094,2.092,2.091,2.091,2.09,2.091,2.095,2.099,2.105,2.107,2.112,2.116,2.119,2.119,2.115,2.111,2.11,2.107,2.1,2.098,2.095,2.089,2.084,2.083,2.082,2.08,2.08,2.08,2.079,2.077,2.077,2.074,2.07,2.067,2.061,2.058,2.052,2.046,2.041,2.033,2.029,2.024,2.022,2.02,2.017,2.016,2.015,2.019,2.03,2.047,2.096,2.184,2.256,2.319,2.399,2.248,1.721,1.131,0.448,-0.289,-0.957,-1.465,-1.801,-1.98,-2.025,-2.03,-2.03,-1.901,-1.744,-1.468,-1.122,-0.748,-0.362,-0.042,0.236,0.133,0.041,0.0,-0.007,-0.008,-0.005,0.024,0.098,0.207,0.065,-0.248,-0.629,-1.018,-1.375,-1.683,-1.875,-2.013,-2.051,-2.051,-2.031,-1.894,-1.612,-1.167,-0.551,0.194,0.843,1.519,2.069,2.416,2.339,2.264,2.203,2.11,2.05,2.02,2.007,2.003,2.0,2.0,2.006,2.008,2.008,2.011,2.017,2.021,2.026,2.034,2.04,2.045,2.046,2.045,2.045,2.049,2.05,2.054,2.059,2.064,2.067,2.068,2.07,2.071,2.069,2.069,2.069,2.069,2.069,2.072,2.076,2.076,2.077,2.078,2.077,2.075,2.072,2.071,2.07,2.069,2.068,2.068,2.071,2.073,2.076,2.078,2.083,2.088,2.089,2.093,2.096,2.1,2.103,2.103,2.106,2.106,2.107,2.106,2.106,2.109,2.117,Desipramine,-4.943095148663527
1.265,1.255,1.253,1.252,1.251,1.251,1.253,1.257,1.259,1.261,1.263,1.264,1.266,1.266,1.265,1.265,1.266,1.267,1.269,1.273,1.277,1.281,1.282,1.285,1.286,1.286,1.285,1.283,1.281,1.28,1.278,1.275,1.273,1.272,1.267,1.262,1.261,1.259,1.259,1.258,1.257,1.255,1.254,1.253,1.25,1.245,1.243,1.238,1.233,1.228,1.225,1.22,1.215,1.212,1.211,1.208,1.207,1.207,1.208,1.215,1.234,1.268,1.334,1.421,1.543,1.578,1.497,1.344,1.148,0.902,0.566,0.063,-0.464,-0.892,-1.19,-1.339,-1.402,-1.402,-1.396,-1.327,-1.09,-0.889,-0.61,-0.311,-0.039,0.272,0.633,0.827,0.782,0.766,0.761,0.761,0.764,0.789,0.854,0.803,0.459,0.109,-0.192,-0.497,-0.793,-1.035,-1.238,-1.374,-1.398,-1.398,-1.375,-1.259,-1.021,-0.661,-0.129,0.435,0.773,1.046,1.271,1.436,1.536,1.584,1.455,1.345,1.269,1.227,1.205,1.193,1.188,1.184,1.183,1.183,1.183,1.186,1.189,1.195,1.199,1.202,1.205,1.211,1.213,1.218,1.22,1.22,1.222,1.226,1.23,1.231,1.234,1.237,1.24,1.239,1.239,1.24,1.242,1.243,1.245,1.246,1.247,1.247,1.249,1.249,1.248,1.246,1.245,1.243,1.241,1.241,1.242,1.242,1.245,1.247,1.251,1.254,1.257,1.261,1.265,1.266,1.27,1.272,1.272,1.275,1.276,1.277,1.277,1.278,1.279,1.279,1.283,Ketoprofen,-4.976747540366288
2.404,2.38,2.367,2.365,2.363,2.362,2.362,2.362,2.366,2.369,2.371,2.38,2.38,2.378,2.377,2.377,2.379,2.384,2.388,2.396,2.404,2.407,2.414,2.419,2.421,2.421,2.416,2.412,2.408,2.402,2.396,2.387,2.381,2.373,2.367,2.359,2.351,2.345,2.343,2.341,2.335,2.33,2.321,2.319,2.314,2.302,2.294,2.287,2.275,2.263,2.252,2.238,2.227,2.214,2.207,2.205,2.203,2.206,2.225,2.253,2.318,2.418,2.529,2.672,2.633,2.327,2.157,1.654,1.061,0.404,-0.222,-0.879,-1.385,-1.553,-1.679,-1.709,-1.709,-1.603,-1.072,-0.097,1.23,2.679,3.808,4.299,4.836,5.417,6.003,6.489,7.165,7.213,7.173,7.165,7.185,7.285,6.8,6.264,5.685,5.098,4.569,4.019,3.134,1.687,0.232,-0.889,-1.551,-1.794,-1.8,-1.797,-1.601,-1.525,-1.133,-0.517,0.173,0.787,1.418,2.004,2.257,2.551,2.709,2.553,2.462,2.324,2.245,2.212,2.198,2.19,2.186,2.185,2.186,2.191,2.201,2.213,2.225,2.235,2.244,2.252,2.258,2.265,2.27,2.274,2.286,2.292,2.301,2.308,2.313,2.316,2.321,2.326,2.33,2.332,2.334,2.336,2.337,2.342,2.346,2.348,2.345,2.343,2.349,2.347,2.345,2.345,2.347,2.349,2.352,2.358,2.366,2.373,2.376,2.378,2.391,2.395,2.402,2.402,2.408,2.415,2.422,2.424,2.427,2.427,2.43,2.433,2.438,2.447,2.462,Inogatran,-7.0
1.781,1.761,1.754,1.752,1.751,1.751,1.753,1.758,1.76,1.762,1.761,1.762,1.763,1.761,1.758,1.757,1.757,1.759,1.765,1.773,1.781,1.786,1.79,1.793,1.795,1.797,1.793,1.794,1.786,1.785,1.78,1.773,1.766,1.76,1.752,1.745,1.74,1.737,1.733,1.729,1.722,1.721,1.714,1.707,1.703,1.696,1.687,1.68,1.672,1.66,1.65,1.638,1.624,1.618,1.615,1.614,1.615,1.619,1.63,1.65,1.698,1.78,1.938,2.183,2.525,2.564,2.467,2.327,2.136,1.597,1.062,0.577,0.133,-0.441,-0.732,-0.777,-0.798,-0.66,-0.293,0.454,1.489,2.233,2.727,3.303,3.939,4.584,5.214,5.715,6.071,5.959,5.939,5.939,5.953,6.096,5.944,5.426,4.783,4.137,3.49,2.898,2.365,1.725,0.654,-0.21,-0.672,-0.889,-0.942,-0.867,-0.691,-0.178,0.379,0.812,1.341,1.905,2.223,2.369,2.507,2.622,2.275,1.998,1.808,1.697,1.64,1.617,1.607,1.598,1.595,1.593,1.594,1.597,1.607,1.622,1.629,1.64,1.649,1.66,1.665,1.673,1.676,1.679,1.686,1.694,1.698,1.706,1.714,1.717,1.717,1.717,1.721,1.723,1.724,1.725,1.728,1.729,1.732,1.733,1.733,1.738,1.739,1.739,1.741,1.742,1.741,1.743,1.748,1.751,1.754,1.765,1.769,1.775,1.78,1.788,1.79,1.79,1.794,1.798,1.804,1.807,1.806,1.81,1.811,1.812,1.814,1.819,1.833,Lemborexant,-4.46331532737907
0.216,0.2,0.194,0.191,0.19,0.191,0.192,0.191,0.192,0.194,0.193,0.191,0.191,0.191,0.187,0.188,0.188,0.191,0.195,0.199,0.204,0.208,0.211,0.214,0.216,0.217,0.212,0.212,0.206,0.204,0.2,0.2,0.195,0.187,0.182,0.175,0.171,0.165,0.163,0.161,0.157,0.153,0.15,0.143,0.138,0.134,0.128,0.12,0.112,0.103,0.094,0.083,0.078,0.068,0.068,0.068,0.069,0.077,0.089,0.105,0.141,0.215,0.325,0.5,0.758,1.101,1.492,1.644,1.689,1.691,1.505,1.197,0.924,0.873,0.873,0.886,1.17,1.801,2.716,3.929,5.198,6.629,7.547,8.543,9.602,10.314,10.817,11.347,11.72,11.995,11.968,11.968,11.991,12.055,11.584,11.155,10.622,10.038,8.999,7.955,7.001,5.587,4.139,3.001,1.947,1.256,0.839,0.751,0.751,0.781,0.993,1.368,1.633,1.653,1.653,1.517,1.254,0.867,0.573,0.373,0.231,0.139,0.09,0.07,0.064,0.059,0.055,0.052,0.052,0.057,0.064,0.071,0.076,0.088,0.096,0.101,0.109,0.113,0.118,0.123,0.129,0.131,0.137,0.144,0.152,0.152,0.156,0.159,0.16,0.161,0.162,0.166,0.167,0.17,0.169,0.17,0.172,0.173,0.178,0.179,0.183,0.184,0.19,0.193,0.201,0.206,0.209,0.212,0.219,0.221,0.228,0.231,0.232,0.231,0.233,0.232,0.233,0.234,0.234,0.234,0.234,0.241,0.241,0.243,0.254,Furosemide,-6.508638306165727
