lgfe_0,lgfe_1,lgfe_2,lgfe_3,lgfe_4,lgfe_5,lgfe_6,lgfe_7,lgfe_8,lgfe_9,lgfe_10,lgfe_11,lgfe_12,lgfe_13,lgfe_14,lgfe_15,lgfe_16,lgfe_17,lgfe_18,lgfe_19,lgfe_20,lgfe_21,lgfe_22,lgfe_23,lgfe_24,lgfe_25,lgfe_26,lgfe_27,lgfe_28,lgfe_29,lgfe_30,lgfe_31,lgfe_32,lgfe_33,lgfe_34,lgfe_35,lgfe_36,lgfe_37,lgfe_38,lgfe_39,lgfe_40,lgfe_41,lgfe_42,lgfe_43,lgfe_44,lgfe_45,lgfe_46,lgfe_47,lgfe_48,lgfe_49,lgfe_50,lgfe_51,lgfe_52,lgfe_53,lgfe_54,lgfe_55,lgfe_56,lgfe_57,lgfe_58,lgfe_59,lgfe_60,lgfe_61,lgfe_62,lgfe_63,lgfe_64,lgfe_65,lgfe_66,lgfe_67,lgfe_68,lgfe_69,lgfe_70,lgfe_71,lgfe_72,lgfe_73,lgfe_74,lgfe_75,lgfe_76,lgfe_77,lgfe_78,lgfe_79,lgfe_80,lgfe_81,lgfe_82,lgfe_83,lgfe_84,lgfe_85,lgfe_86,lgfe_87,lgfe_88,lgfe_89,lgfe_90,lgfe_91,lgfe_92,lgfe_93,lgfe_94,lgfe_95,lgfe_96,lgfe_97,lgfe_98,lgfe_99,lgfe_100,lgfe_101,lgfe_102,lgfe_103,lgfe_104,lgfe_105,lgfe_106,lgfe_107,lgfe_108,lgfe_109,lgfe_110,lgfe_111,lgfe_112,lgfe_113,lgfe_114,lgfe_115,lgfe_116,lgfe_117,lgfe_118,lgfe_119,lgfe_120,lgfe_121,lgfe_122,lgfe_123,lgfe_124,lgfe_125,lgfe_126,lgfe_127,lgfe_128,lgfe_129,lgfe_130,lgfe_131,lgfe_132,lgfe_133,lgfe_134,lgfe_135,lgfe_136,lgfe_137,lgfe_138,lgfe_139,lgfe_140,lgfe_141,lgfe_142,lgfe_143,lgfe_144,lgfe_145,lgfe_146,lgfe_147,lgfe_148,lgfe_149,lgfe_150,lgfe_151,lgfe_152,lgfe_153,lgfe_154,lgfe_155,lgfe_156,lgfe_157,lgfe_158,lgfe_159,lgfe_160,lgfe_161,lgfe_162,lgfe_163,lgfe_164,lgfe_165,lgfe_166,lgfe_167,lgfe_168,lgfe_169,lgfe_170,lgfe_171,lgfe_172,lgfe_173,lgfe_174,lgfe_175,lgfe_176,lgfe_177,lgfe_178,lgfe_179,lgfe_180,lgfe_181,lgfe_182,lgfe_183,lgfe_184,Molecule,log10_P_app
2.272,2.272,2.272,2.274,2.277,2.283,2.287,2.291,2.292,2.293,2.294,2.295,2.297,2.297,2.297,2.295,2.293,2.292,2.29,2.288,2.284,2.284,2.284,2.284,2.284,2.285,2.285,2.286,2.287,2.291,2.295,2.299,2.302,2.304,2.306,2.309,2.311,2.31,2.307,2.304,2.3,2.296,2.296,2.292,2.292,2.291,2.288,2.284,2.28,2.273,2.266,2.261,2.249,2.233,2.219,2.205,2.194,2.187,2.186,2.187,2.195,2.217,2.244,2.307,2.388,2.455,2.499,2.428,2.002,1.367,0.653,-0.17,-0.962,-1.632,-2.155,-2.51,-2.678,-2.737,-2.739,-2.737,-2.722,-2.584,-2.347,-2.102,-1.87,-1.631,-1.388,-1.124,-1.092,-1.124,-1.13,-1.132,-1.132,-1.106,-1.049,-1.316,-1.573,-1.817,-2.057,-2.269,-2.532,-2.708,-2.766,-2.777,-2.777,-2.724,-2.615,-2.326,-1.844,-1.218,-0.452,0.416,1.138,1.807,2.354,2.495,2.444,2.384,2.296,2.219,2.179,2.156,2.145,2.144,2.143,2.154,2.174,2.188,2.202,2.214,2.222,2.221,2.213,2.206,2.204,2.203,2.203,2.205,2.208,2.209,2.207,2.205,2.206,2.206,2.206,2.207,2.209,2.207,2.202,2.197,2.192,2.19,2.189,2.189,2.189,2.19,2.19,2.19,2.191,2.192,2.195,2.198,2.202,2.207,2.211,2.213,2.218,2.222,2.226,2.229,2.232,2.235,2.238,2.241,2.242,2.244,2.246,2.247,2.248,2.251,2.252,2.252,2.253,2.254,2.255,Maprotiline,-5.229147988357856
1.383,1.384,1.385,1.386,1.39,1.393,1.395,1.398,1.398,1.399,1.4,1.4,1.401,1.404,1.404,1.402,1.402,1.399,1.398,1.394,1.393,1.391,1.391,1.391,1.392,1.392,1.392,1.394,1.396,1.399,1.402,1.406,1.409,1.413,1.412,1.416,1.416,1.414,1.411,1.408,1.405,1.402,1.401,1.401,1.399,1.397,1.395,1.39,1.386,1.381,1.376,1.373,1.37,1.37,1.371,1.371,1.376,1.384,1.392,1.406,1.424,1.467,1.538,1.647,1.802,1.995,2.149,2.265,2.068,1.573,1.041,0.518,0.013,-0.494,-0.908,-1.176,-1.31,-1.31,-1.303,-1.268,-1.112,-0.82,-0.513,-0.163,0.124,0.345,0.518,0.49,0.389,0.348,0.336,0.334,0.334,0.352,0.413,0.491,0.372,0.16,-0.105,-0.424,-0.749,-1.075,-1.284,-1.36,-1.375,-1.375,-1.288,-1.074,-0.704,-0.199,0.296,0.824,1.363,1.913,2.229,2.141,1.996,1.789,1.622,1.503,1.419,1.371,1.342,1.328,1.325,1.325,1.326,1.326,1.326,1.325,1.321,1.314,1.309,1.304,1.301,1.3,1.3,1.3,1.3,1.299,1.298,1.298,1.298,1.3,1.301,1.303,1.305,1.303,1.298,1.294,1.29,1.288,1.288,1.288,1.288,1.289,1.29,1.291,1.291,1.292,1.294,1.297,1.3,1.303,1.306,1.31,1.313,1.316,1.319,1.323,1.325,1.328,1.332,1.334,1.336,1.336,1.338,1.338,1.341,1.341,1.343,1.344,1.346,1.347,1.351,Diazepam,-4.333482019445119
2.65,2.652,2.654,2.656,2.66,2.663,2.667,2.671,2.673,2.676,2.68,2.682,2.682,2.682,2.682,2.681,2.679,2.675,2.671,2.669,2.666,2.665,2.665,2.664,2.665,2.666,2.667,2.668,2.673,2.677,2.682,2.686,2.693,2.699,2.703,2.703,2.703,2.702,2.695,2.689,2.682,2.673,2.66,2.656,2.638,2.631,2.621,2.608,2.6,2.585,2.564,2.542,2.523,2.492,2.472,2.46,2.447,2.437,2.437,2.442,2.45,2.479,2.539,2.486,2.43,2.376,2.362,2.18,1.789,1.272,0.726,0.003,-0.927,-1.708,-2.311,-2.822,-3.12,-3.187,-3.202,-3.182,-3.099,-2.925,-2.66,-2.263,-1.8,-1.601,-1.461,-1.264,-1.199,-1.265,-1.275,-1.277,-1.274,-1.246,-1.27,-1.467,-1.644,-1.776,-2.191,-2.623,-2.933,-3.127,-3.243,-3.287,-3.283,-3.268,-3.045,-2.581,-2.01,-1.198,-0.311,0.444,1.04,1.57,2.028,2.313,2.303,2.352,2.408,2.463,2.411,2.372,2.36,2.36,2.36,2.382,2.397,2.413,2.427,2.439,2.453,2.459,2.472,2.477,2.486,2.5,2.502,2.514,2.517,2.518,2.52,2.52,2.519,2.519,2.523,2.522,2.522,2.518,2.515,2.511,2.504,2.5,2.499,2.5,2.5,2.501,2.502,2.502,2.503,2.506,2.508,2.512,2.517,2.522,2.525,2.532,2.539,2.545,2.551,2.555,2.56,2.566,2.571,2.575,2.577,2.581,2.583,2.587,2.589,2.59,2.591,2.594,2.596,2.598,2.601,Thiothixene,-5.468521082957745
1.311,1.312,1.316,1.319,1.321,1.325,1.327,1.327,1.328,1.331,1.332,1.333,1.336,1.336,1.337,1.336,1.335,1.334,1.332,1.329,1.327,1.324,1.324,1.324,1.325,1.326,1.326,1.327,1.329,1.331,1.332,1.335,1.338,1.342,1.343,1.343,1.343,1.342,1.341,1.337,1.334,1.329,1.327,1.326,1.323,1.319,1.316,1.314,1.309,1.304,1.299,1.296,1.291,1.291,1.291,1.294,1.298,1.305,1.312,1.327,1.357,1.414,1.502,1.637,1.83,1.961,1.84,1.649,1.449,1.207,0.949,0.661,0.206,-0.145,-0.353,-0.433,-0.433,-0.409,-0.282,0.02,0.492,1.023,1.491,1.931,2.425,2.954,3.4,3.735,3.922,3.843,3.812,3.812,3.814,3.84,3.86,3.512,3.081,2.573,2.076,1.617,1.144,0.598,0.1,-0.27,-0.466,-0.508,-0.508,-0.484,-0.314,-0.009,0.433,0.768,1.023,1.288,1.502,1.703,1.851,1.793,1.584,1.44,1.339,1.276,1.239,1.218,1.214,1.214,1.214,1.214,1.21,1.209,1.207,1.204,1.203,1.197,1.194,1.19,1.188,1.187,1.187,1.187,1.186,1.185,1.187,1.19,1.193,1.193,1.192,1.192,1.191,1.184,1.179,1.179,1.178,1.179,1.179,1.181,1.183,1.185,1.187,1.189,1.193,1.196,1.199,1.201,1.203,1.207,1.21,1.216,1.22,1.223,1.227,1.229,1.233,1.237,1.239,1.239,1.24,1.242,1.243,1.245,1.247,1.248,1.25,1.253,1.26,Zaleplon,-4.425968732272281
2.591,2.591,2.592,2.592,2.597,2.601,2.606,2.608,2.61,2.613,2.616,2.618,2.618,2.618,2.615,2.615,2.611,2.606,2.604,2.604,2.6,2.597,2.596,2.595,2.595,2.596,2.596,2.596,2.6,2.603,2.609,2.614,2.619,2.625,2.629,2.631,2.628,2.629,2.627,2.621,2.617,2.61,2.605,2.597,2.588,2.579,2.574,2.569,2.561,2.549,2.543,2.536,2.528,2.525,2.516,2.515,2.515,2.522,2.524,2.532,2.555,2.598,2.677,2.797,2.942,2.699,2.432,2.259,1.951,1.349,0.653,-0.112,-0.909,-1.594,-2.201,-2.646,-2.88,-2.969,-2.969,-2.907,-2.83,-2.616,-2.421,-2.238,-2.112,-2.003,-1.832,-1.596,-1.326,-1.076,-0.799,-0.736,-1.013,-1.282,-1.554,-1.809,-2.005,-2.139,-2.232,-2.427,-2.615,-2.832,-2.943,-3.009,-3.009,-2.971,-2.796,-2.413,-1.858,-1.163,-0.44,0.379,1.165,1.775,2.201,2.365,2.604,2.771,2.785,2.657,2.559,2.504,2.482,2.474,2.471,2.467,2.47,2.474,2.476,2.478,2.485,2.482,2.481,2.482,2.487,2.487,2.489,2.491,2.49,2.492,2.493,2.492,2.492,2.492,2.494,2.492,2.49,2.488,2.485,2.48,2.473,2.47,2.47,2.469,2.471,2.471,2.471,2.472,2.473,2.474,2.476,2.481,2.485,2.491,2.495,2.499,2.503,2.51,2.512,2.518,2.524,2.528,2.531,2.533,2.538,2.54,2.542,2.544,2.544,2.547,2.547,2.548,2.553,2.555,2.558,Fluphenazine,-5.455931955649724
1.592,1.595,1.596,1.599,1.602,1.604,1.608,1.61,1.612,1.614,1.615,1.616,1.618,1.619,1.62,1.618,1.616,1.613,1.61,1.606,1.603,1.602,1.602,1.602,1.603,1.603,1.603,1.605,1.607,1.608,1.609,1.614,1.615,1.616,1.617,1.616,1.614,1.611,1.606,1.603,1.6,1.588,1.579,1.574,1.567,1.555,1.548,1.537,1.529,1.514,1.504,1.491,1.476,1.46,1.442,1.424,1.407,1.394,1.386,1.382,1.382,1.384,1.412,1.469,1.44,1.347,1.222,1.083,0.824,0.536,0.232,-0.124,-0.554,-0.917,-1.229,-1.499,-1.565,-1.565,-1.538,-1.306,-0.859,-0.246,0.41,0.907,1.372,1.779,1.982,2.134,2.008,1.95,1.922,1.922,1.927,1.955,2.034,2.09,1.851,1.467,1.01,0.521,-0.069,-0.739,-1.269,-1.557,-1.66,-1.66,-1.618,-1.421,-1.023,-0.725,-0.262,0.068,0.422,0.702,0.989,1.147,1.278,1.384,1.446,1.374,1.338,1.327,1.327,1.336,1.339,1.354,1.372,1.388,1.402,1.417,1.432,1.438,1.444,1.454,1.461,1.465,1.469,1.471,1.476,1.479,1.478,1.479,1.479,1.48,1.483,1.485,1.484,1.483,1.479,1.474,1.468,1.466,1.466,1.466,1.466,1.467,1.467,1.468,1.47,1.473,1.475,1.478,1.481,1.485,1.49,1.494,1.499,1.504,1.506,1.512,1.516,1.521,1.522,1.524,1.527,1.527,1.53,1.53,1.533,1.535,1.537,1.54,1.541,1.544,1.551,Clozapine,-4.548213564475709
1.067,1.067,1.067,1.07,1.074,1.077,1.079,1.08,1.082,1.082,1.083,1.083,1.085,1.085,1.086,1.085,1.084,1.081,1.08,1.078,1.076,1.076,1.075,1.075,1.075,1.076,1.076,1.076,1.078,1.08,1.082,1.084,1.085,1.087,1.088,1.091,1.092,1.09,1.089,1.086,1.081,1.078,1.077,1.077,1.077,1.074,1.073,1.069,1.066,1.062,1.057,1.055,1.054,1.054,1.054,1.055,1.058,1.062,1.068,1.074,1.091,1.119,1.171,1.253,1.357,1.5,1.64,1.725,1.577,1.259,0.85,0.394,-0.044,-0.415,-0.691,-0.846,-0.926,-0.926,-0.888,-0.809,-0.589,-0.267,0.162,0.636,1.116,1.566,1.942,2.213,2.288,2.244,2.232,2.231,2.231,2.242,2.282,2.075,1.709,1.27,0.792,0.3,-0.159,-0.526,-0.786,-0.915,-0.966,-0.966,-0.936,-0.801,-0.559,-0.207,0.209,0.667,1.099,1.452,1.662,1.638,1.502,1.352,1.225,1.14,1.088,1.05,1.027,1.018,1.016,1.016,1.017,1.018,1.019,1.019,1.017,1.014,1.009,1.003,1.0,0.999,0.999,0.999,0.999,1.0,1.0,0.998,0.998,0.998,1.0,1.003,1.006,1.005,1.002,0.998,0.994,0.993,0.993,0.992,0.993,0.994,0.994,0.995,0.995,0.997,0.999,1.002,1.004,1.006,1.009,1.011,1.014,1.016,1.019,1.021,1.022,1.026,1.028,1.029,1.03,1.031,1.033,1.033,1.034,1.035,1.035,1.036,1.037,1.038,1.041,Carbamazepine,-4.510041520575165
2.524,2.525,2.525,2.526,2.531,2.534,2.538,2.541,2.543,2.545,2.548,2.55,2.55,2.552,2.552,2.551,2.547,2.545,2.544,2.539,2.537,2.536,2.536,2.537,2.537,2.537,2.539,2.54,2.542,2.545,2.55,2.555,2.557,2.564,2.568,2.571,2.571,2.569,2.565,2.557,2.55,2.548,2.53,2.526,2.511,2.503,2.497,2.482,2.473,2.459,2.441,2.429,2.404,2.385,2.365,2.343,2.323,2.315,2.311,2.311,2.322,2.345,2.395,2.302,2.171,2.044,1.948,1.893,1.589,1.029,0.279,-0.43,-1.11,-1.744,-2.256,-2.658,-2.883,-2.947,-2.95,-2.95,-2.859,-2.723,-2.583,-2.361,-2.192,-2.043,-1.93,-1.826,-1.881,-1.93,-1.94,-1.939,-1.938,-1.911,-1.844,-1.953,-2.051,-2.2,-2.362,-2.579,-2.735,-2.881,-3.002,-3.012,-3.012,-2.987,-2.823,-2.458,-1.949,-1.369,-0.637,0.015,0.777,1.343,1.847,1.901,1.979,2.097,2.237,2.335,2.296,2.272,2.257,2.257,2.264,2.274,2.297,2.315,2.329,2.347,2.356,2.365,2.38,2.383,2.393,2.407,2.412,2.422,2.423,2.425,2.427,2.428,2.427,2.428,2.428,2.427,2.426,2.425,2.42,2.415,2.41,2.407,2.407,2.407,2.408,2.408,2.408,2.409,2.41,2.411,2.413,2.417,2.419,2.425,2.43,2.434,2.439,2.444,2.448,2.453,2.458,2.462,2.467,2.468,2.473,2.473,2.478,2.48,2.481,2.482,2.485,2.485,2.487,2.491,2.494,Trifluoperazine,-6.154901959985743
2.388,2.39,2.391,2.395,2.399,2.404,2.41,2.413,2.417,2.417,2.417,2.42,2.422,2.423,2.423,2.422,2.421,2.419,2.415,2.412,2.409,2.406,2.405,2.406,2.408,2.408,2.409,2.41,2.412,2.413,2.416,2.421,2.426,2.428,2.433,2.435,2.434,2.435,2.428,2.424,2.421,2.415,2.411,2.409,2.4,2.395,2.391,2.383,2.371,2.361,2.351,2.342,2.338,2.335,2.328,2.325,2.321,2.314,2.311,2.311,2.327,2.353,2.421,2.535,2.686,2.681,2.504,2.142,1.705,1.226,0.684,0.187,-0.337,-0.863,-1.343,-1.638,-1.743,-1.743,-1.725,-1.647,-1.44,-1.076,-0.614,-0.067,0.521,1.134,1.72,2.259,2.681,3.135,3.127,3.126,3.126,2.901,2.463,1.929,1.33,0.702,0.081,-0.49,-0.995,-1.403,-1.674,-1.788,-1.836,-1.836,-1.77,-1.536,-1.113,-0.573,-0.057,0.461,0.996,1.49,1.948,2.349,2.616,2.62,2.482,2.36,2.294,2.25,2.23,2.221,2.221,2.226,2.234,2.245,2.256,2.261,2.268,2.274,2.274,2.268,2.263,2.262,2.261,2.261,2.265,2.266,2.266,2.265,2.264,2.266,2.268,2.269,2.27,2.267,2.262,2.258,2.25,2.248,2.248,2.248,2.249,2.25,2.25,2.252,2.256,2.258,2.261,2.267,2.271,2.276,2.281,2.286,2.291,2.296,2.301,2.304,2.31,2.313,2.317,2.319,2.324,2.325,2.328,2.328,2.33,2.332,2.335,2.336,2.336,2.339,2.343,Pergolide,-4.600326278518962
1.937,1.939,1.94,1.944,1.945,1.948,1.952,1.954,1.956,1.957,1.959,1.961,1.961,1.965,1.963,1.963,1.961,1.958,1.955,1.951,1.95,1.95,1.948,1.948,1.95,1.951,1.952,1.953,1.954,1.958,1.96,1.963,1.967,1.97,1.974,1.978,1.98,1.976,1.97,1.968,1.963,1.954,1.952,1.945,1.94,1.932,1.927,1.92,1.907,1.901,1.891,1.877,1.865,1.856,1.844,1.84,1.836,1.83,1.833,1.824,1.859,1.884,1.933,2.023,2.139,2.187,2.246,2.265,2.004,1.41,0.823,0.212,-0.423,-0.924,-1.309,-1.534,-1.615,-1.616,-1.602,-1.499,-1.24,-0.868,-0.43,0.025,0.332,0.536,0.605,0.623,0.559,0.515,0.501,0.498,0.498,0.511,0.57,0.6,0.6,0.395,0.111,-0.299,-0.776,-1.172,-1.485,-1.63,-1.674,-1.674,-1.642,-1.466,-1.145,-0.647,-0.076,0.577,1.195,1.775,2.188,2.209,2.159,2.1,1.984,1.883,1.824,1.794,1.771,1.76,1.766,1.771,1.778,1.779,1.794,1.805,1.809,1.819,1.82,1.822,1.822,1.822,1.828,1.828,1.832,1.832,1.832,1.832,1.833,1.833,1.835,1.836,1.836,1.835,1.827,1.823,1.819,1.818,1.817,1.817,1.818,1.818,1.819,1.821,1.822,1.824,1.826,1.827,1.83,1.836,1.84,1.844,1.848,1.853,1.857,1.861,1.866,1.869,1.873,1.875,1.877,1.88,1.883,1.884,1.885,1.886,1.888,1.891,1.893,1.895,1.898,Citalopram,-4.742321425130816
