Molecule,Parent,Same_Expt_Different_Source,Different_Expt,included_in_files
Acebutolol_2,Acebutolol,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Acetaminophen_1,Acetaminophen,NA,0.5636101520741761,"popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-cMdr1_KO_MDCK1-beran.csv"
Acetylsalicylic_Acid_5,Acetylsalicylic_Acid,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Acrivastine_8,Acrivastine,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Acyclovir_9,Acyclovir,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Alprenolol_12,Alprenolol,NA,0.6418271181994504,"popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Hellinger.csv"
Amantadine_15,Amantadine,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv
Amiloride_3,Amiloride,NA,NA,popc-chol_P_app_including_protomers_lgfe-cMdr1_KO_MDCK1-beran.csv
Amitriptyline_17,Amitriptyline,0.43855785958030147,NA,"popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv"
Amoxapine_22,Amoxapine,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv
Amoxicillin_26,Amoxicillin,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Antipyrine_4,Antipyrine,0.45060624823666307,0.43880404146408747,"popc-chol_P_app_including_protomers_lgfe-MDCK-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv, popc-chol_P_app_including_protomers_lgfe-cMdr1_KO_MDCK1-beran.csv"
Atenolol_5,Atenolol,0.5056848074065594,0.6356443453899105,"popc-chol_P_app_including_protomers_lgfe-MDCK-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv, popc-chol_P_app_including_protomers_lgfe-cMdr1_KO_MDCK1-beran.csv"
Atomoxetine_31,Atomoxetine,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv
Bretylium_Tosylate_32,Bretylium_Tosylate,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Bupropion_34,Bupropion,NA,0.4372497426819706,"popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv"
Caffeine_35,Caffeine,0.5897333378016132,0.2992701994731579,"popc-chol_P_app_including_protomers_lgfe-MDCK-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Hellinger.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv"
Carbamazepine_7,Carbamazepine,0.19725947638090524,0.2848159391218239,"popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv, popc-chol_P_app_including_protomers_lgfe-cMdr1_KO_MDCK1-beran.csv"
Cefatrizine_41,Cefatrizine,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
Cefuroxime_44,Cefuroxime,NA,0.20411998265592501,"popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv, popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv"
Cephalexin_47,Cephalexin,NA,NA,popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv
