Molecule,Parent,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
Labetalol_96,Labetalol,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,1,0.6666666666666666,3.3874035779632976,0.9945106248818646
Rhodamine_123_73,Rhodamine_123,[H]/N=c1/ccc2c(-c3ccccc3C(=O)OC)c3ccc(N)cc3oc-2c1,1,0.2571428571428571,2.1537525391742762,0.9970813028788426
Labetalol_97,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@@H](O)c1ccc([O-])c(C(N)=O)c1,1,1.0,0.6240072114958373,0.9998101022803286
Labetalol_98,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@H](O)c1ccc(O)c(C(N)=O)c1,1,1.0,0.7424237334571591,0.9997512412731984
Fluoxetine_72,Fluoxetine,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0.22641509433962265,2.4829285128655205,0.9978782539724407
Carbamazepine_37,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,1,0.30434782608695654,1.8537405427945164,0.9977107155951256
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.2807017543859649,2.4575847899917833,0.9983123630665351
Sulfasalazine_95,Sulfasalazine,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1O,1,1.0,1.0770306402332968,0.9995290529017515
Furosemide_79,Furosemide,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,1,0.3026315789473684,3.835266744308867,0.99870171282336
Rhodamine_123_74,Rhodamine_123,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,1,0.26865671641791045,1.9282686534815714,0.9979721868054566
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.0,0.08592438536230952,0.9999973807813297
Chlorothiazide_49,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,1,0.17721518987341772,4.272295635837688,0.9970332101804678
Furosemide_78,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1,0.30666666666666664,4.511814047586645,0.9991739777409622
Cefuroxime_44,Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,1,0.2,5.202823656439372,0.998961611051197
Sulfasalazine_92,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1,0.4426229508196721,3.3323827811341102,0.9953595316464838
Amitriptyline_17,Amitriptyline,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,1,0.2857142857142857,2.449364815620377,0.9993572514392219
Fluoxetine_71,Fluoxetine,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0.25,2.6598721773800262,0.9974039573430004
Chlorpromazine_51,Chlorpromazine,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1,0.24285714285714285,1.5676453680603195,0.9994324337095757
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.29310344827586204,2.5505050480246525,0.9976828281867244
Sulfasalazine_93,Sulfasalazine,O=C([O-])c1cc(/N=N\c2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)ccc1[O-],1,1.0,1.5653402186102734,0.9990269491509799
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,1,0.2727272727272727,1.3158001367989902,0.999082513882439
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,1,1.0,0.053888774342820564,0.9999989073231407
Sulfasalazine_94,Sulfasalazine,O=C([O-])C1=C/C(=N/Nc2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)C=CC1=O,1,1.0,0.537456975021235,0.9998852213608013
