Molecule,Parent,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
Donepezil_62,Donepezil,COc1cc2c(cc1OC)C(=O)[C@@H](C[C@H]1CC[N@H+](Cc3ccccc3)CC1)C2,1,0.373134328358209,2.236962002359455,0.9983313119917409
Clozapine_57,Clozapine,C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1,0.3181818181818182,1.2717916496030575,0.998861139645096
Perphenazine_53,Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,0.29411764705882354,2.486690772894473,0.9986837958614297
Trifluoperazine_121,Trifluoperazine,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,0.35,1.8101066266938217,0.9991943790035058
Mesoridazine_16,Mesoridazine,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,1,0.24615384615384617,3.041592839286649,0.9986364949733771
Tiagabine_114,Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@H](C(=O)O)C1)c1sccc1C,1,0.3088235294117647,1.5307174788318048,0.9991814606916324
Quetiapine_71,Quetiapine,OCCOCC[NH+]1CC[N+](=C2Nc3ccccc3Sc3ccccc32)CC1,1,0.22727272727272727,2.420831055649746,0.9986060204307242
Bupropion_34,Bupropion,C[C@@H]([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,1,0.31666666666666665,1.7301531724100494,0.9988828977908781
Trifluoperazine_123,Trifluoperazine,C[N@H+]1CC[N@@H+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,0.25,3.449234552766852,0.9972832018741513
Citalopram_52,Citalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1,0.296875,1.6211477415705822,0.9990176971187142
Diazepam_60,Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,0.2916666666666667,1.2377402797033594,0.9991921114436715
Tacrine_101,Tacrine,Nc1c2c([nH+]c3ccccc13)CCCC2,1,0.2909090909090909,1.3311626497163647,0.9987783453703404
Meprobamate_15,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,1,0.20454545454545456,3.061574104933719,0.9899661600484765
Maprotiline_13,Maprotiline,CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12,1,0.2222222222222222,2.271257801307374,0.9995626287189533
Quetiapine_69,Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,1,0.3275862068965517,2.4419860769462725,0.9985802872353042
Perphenazine_55,Perphenazine,OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,0.2898550724637681,2.2339071153474452,0.9985952630407303
Fluoxetine_72,Fluoxetine,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0.2413793103448276,2.525496782813334,0.9960512730098309
Mirtazapine_26,Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,1,0.2571428571428571,1.8534896816549982,0.9984285659240125
Phenelzine_58,Phenelzine,[NH3+]NCCc1ccccc1,1,0.3181818181818182,3.8486133866628083,0.9861629844268066
Clozapine_54,Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1,0.2923076923076923,1.4755039816955609,0.9988737585851436
Carbamazepine_37,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,1,0.30434782608695654,1.67076150302783,0.9978320294589985
Phenytoin_59,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1,0.20754716981132076,1.9046742503645706,0.9985526878941827
Tacrine_100,Tacrine,Nc1c2c(nc3ccccc13)CCCC2,1,0.40384615384615385,1.7410985038188025,0.9985542524359712
Ethosuximide_70,Ethosuximide,CC[C@@]1(C)CC(=O)NC1=O,1,0.23809523809523808,1.4493236353556571,0.9993173982556676
