Molecule,Parent,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.2807017543859649,2.7893506412781193,0.9976866409804491
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.0,1.6075095645125326,0.999755329027484
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.29310344827586204,2.2617904412215575,0.9990032089599029
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,1,0.2727272727272727,1.2604515064053528,0.9991084301927667
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,1,1.0,0.0562583327087767,0.9999991674129162
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,2,0.44,2.7893506412781193,0.9976866409804491
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2,1.0,1.6075095645125326,0.999755329027484
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,2,0.29310344827586204,2.2617904412215575,0.9990032089599029
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,2,0.2727272727272727,1.5475264133446536,0.9991084301927667
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,2,1.0,0.0562583327087767,0.9999991674129162
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,3,0.44,2.7893506412781193,0.9976866409804491
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3,0.2553191489361702,1.6075095645125326,0.999755329027484
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,3,0.29310344827586204,2.2617904412215575,0.9975616484958497
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,3,0.2727272727272727,1.2604515064053528,0.998709876444291
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,3,0.2982456140350877,1.9162478962811822,0.9997116656384304
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,4,0.44,2.7893506412781193,0.9976866409804491
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4,1.0,2.454563097579631,0.999755329027484
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,4,0.2878787878787879,2.2617904412215575,0.9990032089599029
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,4,0.2727272727272727,1.2604515064053528,0.9991084301927667
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,4,1.0,0.0562583327087767,0.9999991674129162
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,5,0.44,2.8459381581471495,0.9976866409804491
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.0,2.454563097579631,0.999755329027484
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,5,0.29310344827586204,2.2617904412215575,0.9990032089599029
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,5,0.2727272727272727,1.5475264133446536,0.9991084301927667
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,5,1.0,0.0562583327087767,0.9999991674129162
