Molecule,Parent,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
Labetalol_96,Labetalol,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,1,0.6666666666666666,2.5624542922753553,0.9962450374412041
Rhodamine_123_73,Rhodamine_123,[H]/N=c1/ccc2c(-c3ccccc3C(=O)OC)c3ccc(N)cc3oc-2c1,1,0.2571428571428571,2.4143319987110328,0.99623295513464
Labetalol_97,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@@H](O)c1ccc([O-])c(C(N)=O)c1,1,1.0,0.5588318172779964,0.999896480053762
Labetalol_98,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@H](O)c1ccc(O)c(C(N)=O)c1,1,1.0,0.564191456865882,0.9998219802982189
Fluoxetine_72,Fluoxetine,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0.22641509433962265,1.8344151656591905,0.998689660548441
Carbamazepine_37,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,1,0.30434782608695654,1.3578821745647,0.997792052999046
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.2807017543859649,2.7893506412781193,0.9976866409804491
Sulfasalazine_95,Sulfasalazine,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1O,1,1.0,1.3242156168835222,0.9998884810482984
Furosemide_79,Furosemide,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,1,0.3026315789473684,5.5175242636531845,0.9982059868329517
Rhodamine_123_74,Rhodamine_123,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,1,0.26865671641791045,2.1582977088436976,0.9980912901522268
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.0,1.6075095645125326,0.999755329027484
Chlorothiazide_49,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,1,0.17721518987341772,5.815841813529822,0.9965865137854715
Furosemide_78,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1,0.30666666666666664,3.994318214664179,0.9992200752400632
Cefuroxime_44,Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,1,0.2,6.12961931933741,0.9991864224500252
Sulfasalazine_92,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1,0.4426229508196721,2.873479597978652,0.9972682582562242
Amitriptyline_17,Amitriptyline,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,1,0.2857142857142857,1.959331773845385,0.9991935193162295
Fluoxetine_71,Fluoxetine,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0.25,2.536438447902995,0.9977284473477358
Chlorpromazine_51,Chlorpromazine,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1,0.24285714285714285,1.7850526602878092,0.9990384296748407
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.29310344827586204,2.2617904412215575,0.9990032089599029
Sulfasalazine_93,Sulfasalazine,O=C([O-])c1cc(/N=N\c2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)ccc1[O-],1,1.0,2.017766587096045,0.9989457575571578
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,1,0.2727272727272727,1.2604515064053528,0.9991084301927667
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,1,1.0,0.0562583327128183,0.9999991674129163
Sulfasalazine_94,Sulfasalazine,O=C([O-])C1=C/C(=N/Nc2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)C=CC1=O,1,1.0,0.33483876717097805,0.9999662737028326
Cefuroxime_45,Cefuroxime,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,1,0.19767441860465115,5.531321451515551,0.9994265852233616
Chlorpromazine_50,Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1,0.25,2.249326121308369,0.9996613237116353
Sulfasalazine_96,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1[O-],1,1.0,1.0898174159012892,0.9997165123526166
Amitriptyline_16,Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1,0.30612244897959184,2.935610328364187,0.9952577823373137
Labetalol_96,Labetalol,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,2,0.6666666666666666,2.5624542922753553,0.9962450374412041
Rhodamine_123_73,Rhodamine_123,[H]/N=c1/ccc2c(-c3ccccc3C(=O)OC)c3ccc(N)cc3oc-2c1,2,0.22077922077922077,2.4143319987110328,0.9968765123828145
Labetalol_97,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@@H](O)c1ccc([O-])c(C(N)=O)c1,2,1.0,0.5588318172779964,0.999896480053762
Labetalol_98,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@H](O)c1ccc(O)c(C(N)=O)c1,2,1.0,0.564191456865882,0.9998219802982189
Fluoxetine_72,Fluoxetine,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,2,0.22641509433962265,1.8615754080885667,0.998689660548441
Carbamazepine_37,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,2,0.30434782608695654,1.3578821745647,0.997792052999046
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,2,0.44,2.7893506412781193,0.9976866409804491
Sulfasalazine_95,Sulfasalazine,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1O,2,1.0,1.3242156168835222,0.9998884810482984
Furosemide_79,Furosemide,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,2,0.3026315789473684,5.5175242636531845,0.9982059868329517
Rhodamine_123_74,Rhodamine_123,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,2,0.22972972972972974,2.1582977088436976,0.9980912901522268
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2,1.0,1.6075095645125326,0.999755329027484
Chlorothiazide_49,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,2,0.17721518987341772,4.6416918251860215,0.9965865137854715
Furosemide_78,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2,0.30666666666666664,3.994318214664179,0.9992200752400632
Cefuroxime_44,Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,2,0.23655913978494625,6.12961931933741,0.9991864224500252
Sulfasalazine_92,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,2,0.4426229508196721,2.873479597978652,0.9972682582562242
Amitriptyline_17,Amitriptyline,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,2,0.2708333333333333,2.4616640713143663,0.9991935193162295
Fluoxetine_71,Fluoxetine,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,2,0.25,2.034809327676686,0.9972094264161901
Chlorpromazine_51,Chlorpromazine,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2,0.24285714285714285,1.7850526602878092,0.9985725805038138
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,2,0.29310344827586204,2.2617904412215575,0.9990032089599029
Sulfasalazine_93,Sulfasalazine,O=C([O-])c1cc(/N=N\c2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)ccc1[O-],2,1.0,2.017766587096045,0.9989457575571578
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,2,0.2727272727272727,1.5475264133446536,0.9991084301927667
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,2,1.0,0.0562583327128183,0.9999991674129163
Sulfasalazine_94,Sulfasalazine,O=C([O-])C1=C/C(=N/Nc2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)C=CC1=O,2,1.0,0.33483876717097805,0.9999662737028326
Cefuroxime_45,Cefuroxime,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,2,0.23404255319148937,5.531321451515551,0.9990630663998714
Chlorpromazine_50,Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2,0.25,2.249326121308369,0.9996613237116353
Sulfasalazine_96,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1[O-],2,1.0,1.0898174159012892,0.9997165123526166
Amitriptyline_16,Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,2,0.2653061224489796,2.935610328364187,0.9991410198198724
Labetalol_96,Labetalol,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,3,0.6666666666666666,2.5624542922753553,0.9962450374412041
Rhodamine_123_73,Rhodamine_123,[H]/N=c1/ccc2c(-c3ccccc3C(=O)OC)c3ccc(N)cc3oc-2c1,3,0.2571428571428571,2.711768242309747,0.9968765123828145
Labetalol_97,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@@H](O)c1ccc([O-])c(C(N)=O)c1,3,1.0,0.5588318172779964,0.999896480053762
Labetalol_98,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@H](O)c1ccc(O)c(C(N)=O)c1,3,1.0,0.564191456865882,0.9998219802982189
Fluoxetine_72,Fluoxetine,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3,0.22727272727272727,1.8615754080885667,0.998689660548441
Carbamazepine_37,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,3,0.30434782608695654,1.3578821745647,0.997792052999046
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,3,0.44,2.7893506412781193,0.9976866409804491
Sulfasalazine_95,Sulfasalazine,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1O,3,1.0,1.3242156168835222,0.9998884810482984
Furosemide_79,Furosemide,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,3,0.3026315789473684,5.5175242636531845,0.9982059868329517
Rhodamine_123_74,Rhodamine_123,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,3,0.26865671641791045,2.1582977088436976,0.9980912901522268
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3,0.2553191489361702,1.6075095645125326,0.999755329027484
Chlorothiazide_49,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,3,0.17721518987341772,4.6416918251860215,0.9965865137854715
Furosemide_78,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,3,0.30666666666666664,3.994318214664179,0.9992200752400632
Cefuroxime_44,Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,3,0.23655913978494625,6.12961931933741,0.9991864224500252
Sulfasalazine_92,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,3,0.4426229508196721,3.422954863856454,0.9972682582562242
Amitriptyline_17,Amitriptyline,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,3,0.2857142857142857,1.959331773845385,0.9991935193162295
Fluoxetine_71,Fluoxetine,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3,0.25,2.034809327676686,0.9972094264161901
Chlorpromazine_51,Chlorpromazine,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3,0.24285714285714285,1.7850526602878092,0.9985725805038138
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,3,0.29310344827586204,2.2617904412215575,0.9975616484958497
Sulfasalazine_93,Sulfasalazine,O=C([O-])c1cc(/N=N\c2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)ccc1[O-],3,1.0,2.017766587096045,0.9989457575571578
Antipyrine_27,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,3,0.2727272727272727,1.2604515064053528,0.998709876444291
Caffeine_36,Caffeine,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O,3,0.2982456140350877,1.9162478962811822,0.9997116656384304
Sulfasalazine_94,Sulfasalazine,O=C([O-])C1=C/C(=N/Nc2ccc(S(=O)(=O)/N=c3\cccc[nH]3)cc2)C=CC1=O,3,1.0,0.33483876717097805,0.9999662737028326
Cefuroxime_45,Cefuroxime,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,3,0.23404255319148937,5.531321451515551,0.9994265852233616
Chlorpromazine_50,Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3,0.25,2.249326121308369,0.9996613237116353
Sulfasalazine_96,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1[O-],3,1.0,1.0898174159012892,0.9997165123526166
Amitriptyline_16,Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3,0.30612244897959184,2.935610328364187,0.9991410198198724
Labetalol_96,Labetalol,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,4,0.6666666666666666,3.320374828238442,0.9962450374412041
Rhodamine_123_73,Rhodamine_123,[H]/N=c1/ccc2c(-c3ccccc3C(=O)OC)c3ccc(N)cc3oc-2c1,4,0.2571428571428571,2.4143319987110328,0.9968765123828145
Labetalol_97,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@@H](O)c1ccc([O-])c(C(N)=O)c1,4,1.0,0.5588318172779964,0.999896480053762
Labetalol_98,Labetalol,C[C@@H](CCc1ccccc1)[NH2+]C[C@H](O)c1ccc(O)c(C(N)=O)c1,4,1.0,0.564191456865882,0.9998219802982189
Fluoxetine_72,Fluoxetine,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4,0.2413793103448276,1.8344151656591905,0.9984485956168709
Carbamazepine_37,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,4,0.2619047619047619,1.3578821745647,0.997792052999046
Atenolol_29,Atenolol,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1,4,0.44,2.7893506412781193,0.9976866409804491
Sulfasalazine_95,Sulfasalazine,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)ccc1O,4,0.25675675675675674,2.890134252937155,0.9976312983116257
Furosemide_79,Furosemide,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,4,0.3026315789473684,5.5175242636531845,0.9982059868329517
Rhodamine_123_74,Rhodamine_123,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,4,0.26865671641791045,2.1582977088436976,0.9980912901522268
Caffeine_35,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4,1.0,2.454563097579631,0.999755329027484
Chlorothiazide_49,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,4,0.17721518987341772,4.6416918251860215,0.9965865137854715
Furosemide_78,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,4,0.30666666666666664,4.000161121755006,0.9979963184965012
Cefuroxime_44,Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,4,0.23655913978494625,6.12961931933741,0.9991864224500252
Sulfasalazine_92,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,4,0.273972602739726,2.873479597978652,0.9972682582562242
Amitriptyline_17,Amitriptyline,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,4,0.2708333333333333,1.959331773845385,0.9991935193162295
Fluoxetine_71,Fluoxetine,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4,0.2631578947368421,2.536438447902995,0.9972094264161901
Chlorpromazine_51,Chlorpromazine,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4,0.24285714285714285,1.7850526602878092,0.9990384296748407
Atenolol_28,Atenolol,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,4,0.2878787878787879,2.2617904412215575,0.9990032089599029
